"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區,
2020/7/1,"4,303 ","14,175 ","39,937 ","40,283 ","24,132 ","13,614 ","11,230 ","3,958 ","3,195 ","12,307 ","2,527 ","4,002 ","4,193 ","8,183 ","9,417 ","17,260 ","17,172 ","5,401 ","8,896 ","3,282 ","7,722 ","7,812 ","5,910 ","28,236 ","3,338 ","11,924 ","10,849 ","15,893 ","23,081 ","15,282 ","9,789 ","24,247 ","16,808 ","32,398 ","24,099 ","9,766 ","34,012 ","25,104 ","25,766 ","19,931 ","23,427 ","117,885 ","36,109 ","20,401 ","22,103 ","23,628 ","23,122 ","23,945 ","22,304 ","12,347 ","28,684 ","6,911 ","8,456 ","16,414 ","4,120 ","3,412 ","3,203 ","11,573 ","8,358 ","9,998 ","28,815 ","9,235 ","11,937 ","7,436 ","20,948 ","24,254 ","29,509 ","33,525 ","37,642 ","24,799 ","25,157 ","51,862 ","19,689 ","29,884 ","31,696 ","18,406 ","56,362 ","19,587 ","15,495 ","14,320 ","17,120 ","13,890 ","24,320 ","18,155 ","7,742 ","10,981 ","36,289 ","22,254 ","23,026 ","22,646 ","9,793 ","10,187 ","5,691 ","5,000 ","5,963 ","9,914 ","9,027 ","12,591 ","16,262 ","27,861 ","22,016 ","14,263 ","11,616 ","11,670 ","12,085 ","11,148 ","10,604 ","9,778 ",878 ,"2,003 ","2,803 ","3,749 ","1,782 ","2,578 ","2,302 ","6,216 ","1,736 ","2,651 ","3,236 ",
2020/7/2,"4,428 ","14,448 ","41,743 ","41,256 ","25,223 ","14,240 ","11,408 ","3,992 ","3,182 ","12,252 ","2,526 ","3,944 ","4,292 ","8,318 ","9,525 ","17,758 ","17,851 ","5,426 ","8,891 ","3,157 ","7,886 ","7,812 ","6,933 ","28,056 ","3,507 ","11,827 ","10,825 ","16,123 ","23,446 ","15,102 ","9,961 ","24,587 ","17,138 ","33,095 ","25,013 ","10,083 ","34,066 ","24,870 ","25,573 ","19,790 ","23,604 ","120,863 ","36,593 ","20,576 ","22,079 ","23,296 ","22,646 ","23,825 ","21,696 ","12,361 ","28,178 ","6,855 ","8,423 ","16,154 ","4,131 ","3,383 ","3,107 ","11,279 ","8,307 ","9,907 ","28,294 ","9,168 ","11,813 ","7,253 ","20,746 ","23,963 ","29,130 ","33,928 ","37,403 ","24,551 ","24,128 ","52,195 ","20,626 ","30,171 ","32,811 ","19,188 ","58,852 ","19,334 ","15,490 ","14,785 ","17,577 ","13,548 ","26,033 ","18,421 ","7,684 ","10,966 ","38,905 ","23,595 ","23,437 ","22,651 ","9,543 ","9,928 ","5,685 ","5,114 ","5,805 ","9,743 ","8,968 ","12,700 ","16,644 ","27,638 ","22,263 ","14,223 ","11,486 ","11,623 ","12,176 ","11,117 ","10,487 ","9,784 ",796 ,"2,026 ","2,895 ","3,755 ","1,788 ","2,640 ","2,312 ","6,338 ","1,679 ","2,706 ","3,340 ",
2020/7/3,"4,617 ","14,941 ","41,471 ","46,618 ","26,654 ","14,376 ","12,026 ","4,344 ","3,367 ","12,878 ","2,757 ","4,133 ","4,407 ","8,957 ","10,830 ","17,858 ","17,918 ","6,135 ","9,670 ","3,375 ","8,155 ","8,566 ","6,203 ","34,017 ","3,783 ","12,958 ","11,691 ","17,396 ","25,085 ","16,707 ","10,682 ","27,075 ","18,794 ","35,015 ","25,917 ","9,857 ","36,637 ","26,994 ","27,300 ","21,277 ","23,259 ","138,835 ","43,214 ","21,282 ","23,693 ","25,348 ","25,025 ","26,268 ","23,684 ","13,078 ","29,828 ","7,507 ","8,898 ","17,939 ","4,795 ","3,620 ","3,198 ","11,942 ","9,055 ","10,569 ","31,027 ","9,595 ","12,924 ","8,061 ","22,157 ","25,292 ","32,011 ","37,349 ","39,925 ","26,433 ","27,453 ","62,708 ","21,262 ","34,050 ","36,712 ","20,633 ","65,982 ","21,016 ","17,128 ","15,413 ","20,559 ","14,499 ","33,170 ","19,558 ","8,521 ","11,922 ","38,968 ","23,645 ","23,930 ","24,553 ","9,921 ","11,087 ","6,218 ","5,289 ","6,513 ","10,202 ","10,033 ","14,298 ","17,566 ","28,599 ","24,302 ","15,338 ","12,274 ","12,623 ","13,122 ","12,074 ","11,130 ","10,399 ",904 ,"2,288 ","3,072 ","4,306 ","1,887 ","2,774 ","2,508 ","7,403 ","1,918 ","3,013 ","3,615 ",
2020/7/4,"2,915 ","8,973 ","22,310 ","43,645 ","17,148 ","9,420 ","8,110 ","3,693 ","2,592 ","7,732 ","1,752 ","2,892 ","4,904 ","5,829 ","9,020 ","5,683 ","6,641 ","3,566 ","8,228 ","2,991 ","5,586 ","5,857 ","2,509 ","24,393 ","4,249 ","11,460 ","8,785 ","13,522 ","16,860 ","14,741 ","9,079 ","26,834 ","15,698 ","26,876 ","17,689 ","4,535 ","29,867 ","20,958 ","20,459 ","16,482 ","9,887 ","132,386 ","41,176 ","16,766 ","16,547 ","29,456 ","24,440 ","22,520 ","18,685 ","8,989 ","21,319 ","6,107 ","6,095 ","14,873 ","4,783 ","3,348 ","1,713 ","7,636 ","7,766 ","8,236 ","31,271 ","6,388 ","10,043 ","6,136 ","17,540 ","16,483 ","27,504 ","33,788 ","30,881 ","20,479 ","24,912 ","61,675 ","13,602 ","29,966 ","29,850 ","15,039 ","55,393 ","15,065 ","13,707 ","8,464 ","15,949 ","9,688 ","33,201 ","13,197 ","8,778 ","9,716 ","18,212 ","13,565 ","13,737 ","16,233 ","7,485 ","8,519 ","4,799 ","2,456 ","5,436 ","7,294 ","8,814 ","11,922 ","12,956 ","17,923 ","20,591 ","11,077 ","9,191 ","10,046 ","9,741 ","9,621 ","7,537 ","8,066 ",540 ,"2,219 ","2,664 ","4,097 ",957 ,"1,192 ","1,772 ","6,951 ","1,814 ","2,792 ","2,507 ",
2020/7/5,"3,471 ","6,904 ","16,167 ","34,120 ","12,171 ","7,452 ","5,917 ","3,133 ","1,958 ","5,698 ","1,455 ","2,501 ","5,114 ","4,668 ","8,001 ","4,046 ","5,341 ","3,022 ","6,360 ","2,735 ","4,266 ","4,662 ","2,294 ","21,058 ","4,227 ","10,299 ","7,280 ","11,059 ","13,507 ","11,755 ","7,193 ","21,130 ","12,912 ","19,626 ","13,782 ","3,476 ","24,151 ","16,800 ","16,285 ","13,863 ","8,403 ","122,842 ","32,795 ","11,684 ","15,021 ","26,099 ","20,733 ","19,190 ","15,242 ","6,696 ","16,369 ","4,843 ","4,852 ","11,840 ","3,781 ","2,299 ","1,440 ","6,085 ","6,254 ","7,041 ","27,991 ","5,490 ","8,818 ","4,996 ","14,144 ","12,926 ","22,812 ","29,385 ","25,571 ","16,451 ","22,449 ","51,429 ","10,160 ","23,360 ","22,301 ","12,054 ","47,173 ","12,196 ","11,073 ","7,035 ","13,904 ","8,078 ","29,570 ","9,504 ","7,635 ","7,738 ","13,559 ","10,301 ","10,459 ","13,025 ","5,973 ","6,859 ","3,891 ","1,940 ","4,410 ","6,395 ","6,939 ","9,967 ","10,121 ","15,659 ","16,844 ","9,233 ","7,411 ","7,785 ","7,801 ","7,711 ","6,331 ","6,556 ",472 ,"1,706 ","2,202 ","3,611 ",890 ,909 ,"1,434 ","7,155 ","1,513 ","2,205 ","2,070 ",
2020/7/6,"4,511 ","13,658 ","39,028 ","38,607 ","24,420 ","13,408 ","11,215 ","3,880 ","3,098 ","12,285 ","2,549 ","3,915 ","4,252 ","7,479 ","9,356 ","16,488 ","16,591 ","5,313 ","8,727 ","3,213 ","7,638 ","7,647 ","5,622 ","28,766 ","3,486 ","12,113 ","10,830 ","16,036 ","22,653 ","14,588 ","9,439 ","23,755 ","16,483 ","31,262 ","21,715 ","9,660 ","33,536 ","24,884 ","25,303 ","19,752 ","23,538 ","123,753 ","35,201 ","19,952 ","21,964 ","23,948 ","23,384 ","22,856 ","21,884 ","12,470 ","28,216 ","6,837 ","8,341 ","16,283 ","4,179 ","3,411 ","3,068 ","11,569 ","8,536 ","9,629 ","28,457 ","9,461 ","12,459 ","7,495 ","20,950 ","24,335 ","28,555 ","33,936 ","37,357 ","24,327 ","25,369 ","53,367 ","18,099 ","28,816 ","31,196 ","18,849 ","58,314 ","18,881 ","15,573 ","14,595 ","17,651 ","14,190 ","31,240 ","17,836 ","7,925 ","10,961 ","36,140 ","21,886 ","22,453 ","23,222 ","8,986 ","10,209 ","5,688 ","4,991 ","5,890 ","9,698 ","8,978 ","12,411 ","16,178 ","27,600 ","20,881 ","14,339 ","11,530 ","11,444 ","12,168 ","11,061 ","10,157 ","9,759 ",846 ,"2,101 ","2,888 ","3,853 ","1,705 ","2,554 ","2,300 ","6,512 ","1,633 ","2,667 ","3,332 ",
2020/7/7,"4,946 ","14,174 ","40,273 ","40,415 ","25,053 ","13,861 ","11,543 ","3,998 ","3,287 ","13,105 ","2,618 ","4,018 ","4,532 ","7,888 ","9,731 ","17,199 ","17,245 ","5,393 ","8,828 ","3,220 ","7,814 ","7,984 ","5,993 ","29,116 ","3,437 ","12,619 ","11,048 ","16,263 ","23,079 ","15,083 ","9,961 ","24,860 ","17,096 ","32,113 ","23,632 ","9,867 ","34,322 ","25,748 ","26,145 ","20,304 ","24,298 ","121,562 ","36,588 ","20,233 ","22,678 ","24,367 ","24,736 ","24,054 ","22,709 ","12,846 ","28,491 ","6,897 ","8,779 ","16,608 ","4,171 ","3,666 ","3,251 ","11,326 ","8,659 ","10,058 ","28,938 ","9,416 ","12,545 ","7,460 ","21,288 ","24,612 ","29,965 ","34,257 ","37,928 ","25,120 ","25,565 ","54,110 ","18,536 ","28,749 ","33,354 ","19,365 ","58,233 ","19,659 ","16,079 ","14,659 ","17,757 ","14,321 ","25,069 ","18,371 ","7,836 ","11,380 ","36,936 ","22,519 ","23,092 ","23,193 ","8,649 ","10,241 ","5,863 ","5,056 ","5,985 ","9,617 ","9,077 ","12,488 ","16,600 ","28,041 ","21,736 ","14,552 ","11,556 ","11,701 ","12,359 ","11,397 ","10,047 ","9,909 ",879 ,"2,038 ","2,810 ","3,780 ","1,764 ","2,611 ","2,320 ","6,336 ","1,681 ","2,738 ","3,420 ",
2020/7/8,"4,832 ","14,430 ","41,115 ","41,937 ","25,263 ","13,948 ","11,427 ","4,158 ","3,298 ","13,359 ","2,627 ","4,151 ","5,361 ","7,938 ","10,400 ","17,095 ","17,338 ","5,435 ","9,126 ","3,345 ","8,199 ","7,650 ","6,171 ","29,560 ","3,552 ","12,567 ","11,154 ","16,245 ","23,600 ","15,301 ","10,075 ","25,424 ","17,251 ","33,068 ","23,917 ","9,907 ","34,317 ","25,782 ","26,227 ","20,270 ","23,601 ","122,716 ","38,035 ","20,668 ","22,588 ","24,344 ","24,146 ","23,768 ","22,658 ","12,637 ","28,942 ","6,943 ","8,579 ","16,986 ","4,261 ","3,626 ","3,128 ","11,673 ","8,581 ","9,999 ","28,924 ","9,412 ","12,244 ","7,730 ","21,313 ","24,640 ","30,115 ","34,640 ","38,556 ","25,394 ","25,892 ","54,969 ","19,296 ","29,281 ","33,441 ","19,983 ","58,071 ","19,746 ","16,080 ","14,535 ","18,052 ","14,425 ","24,766 ","18,603 ","7,961 ","11,661 ","37,289 ","23,214 ","23,193 ","23,515 ","9,193 ","10,335 ","5,774 ","5,078 ","6,106 ","9,800 ","9,160 ","12,675 ","16,584 ","28,788 ","22,100 ","14,682 ","11,662 ","11,826 ","12,384 ","11,329 ","10,234 ","9,944 ",805 ,"2,043 ","2,788 ","3,876 ","1,823 ","2,640 ","2,401 ","6,407 ","1,732 ","2,698 ","3,457 ",
2020/7/9,"4,733 ","14,231 ","40,991 ","42,071 ","25,652 ","13,917 ","11,520 ","4,139 ","3,358 ","11,916 ","2,571 ","4,103 ","4,886 ","7,987 ","10,336 ","16,997 ","17,340 ","5,491 ","9,045 ","3,251 ","8,410 ","7,571 ","5,911 ","29,597 ","3,628 ","12,737 ","11,231 ","16,513 ","24,067 ","15,203 ","10,065 ","25,532 ","17,269 ","32,491 ","23,441 ","9,744 ","34,707 ","26,042 ","26,041 ","20,492 ","22,959 ","124,185 ","38,856 ","20,424 ","23,148 ","24,520 ","24,516 ","24,223 ","22,619 ","12,533 ","28,592 ","6,944 ","8,757 ","17,256 ","4,712 ","3,639 ","3,210 ","11,757 ","8,609 ","10,077 ","29,197 ","9,461 ","12,355 ","7,635 ","21,274 ","24,499 ","30,021 ","34,797 ","38,476 ","25,392 ","25,925 ","55,188 ","20,193 ","29,882 ","33,601 ","19,638 ","59,467 ","19,829 ","16,052 ","14,753 ","18,439 ","14,274 ","25,779 ","18,863 ","8,212 ","11,646 ","37,483 ","23,681 ","23,347 ","23,447 ","8,667 ","10,243 ","5,919 ","5,048 ","6,205 ","9,836 ","9,247 ","12,642 ","16,473 ","28,106 ","22,976 ","14,705 ","11,856 ","11,855 ","12,342 ","11,231 ","10,204 ","10,013 ",878 ,"2,061 ","2,957 ","3,904 ","1,758 ","2,707 ","2,393 ","6,379 ","1,754 ","2,787 ","3,403 ",
2020/7/10,"5,282 ","15,170 ","42,155 ","47,901 ","28,491 ","14,526 ","12,197 ","4,293 ","3,497 ","12,968 ","2,842 ","4,749 ","5,590 ","8,823 ","11,384 ","17,905 ","18,605 ","6,805 ","9,882 ","3,622 ","8,923 ","8,845 ","6,122 ","36,828 ","4,146 ","13,209 ","11,923 ","17,801 ","25,250 ","16,592 ","10,847 ","27,802 ","18,551 ","34,219 ","26,078 ","9,896 ","36,487 ","27,411 ","27,993 ","21,652 ","23,146 ","145,351 ","43,938 ","21,517 ","24,337 ","26,331 ","26,628 ","26,492 ","24,156 ","13,266 ","29,966 ","7,365 ","9,048 ","18,456 ","5,596 ","3,918 ","3,296 ","11,923 ","9,161 ","10,575 ","31,977 ","10,076 ","13,384 ","8,171 ","23,113 ","25,253 ","32,476 ","39,481 ","40,543 ","26,814 ","28,567 ","63,614 ","21,675 ","31,699 ","37,297 ","21,491 ","68,383 ","22,045 ","17,651 ","15,527 ","21,890 ","14,781 ","29,139 ","19,692 ","8,341 ","12,552 ","38,803 ","24,032 ","24,412 ","24,899 ","9,029 ","11,265 ","6,172 ","5,247 ","6,657 ","10,335 ","10,105 ","14,562 ","17,128 ","29,430 ","24,727 ","15,651 ","12,878 ","12,908 ","13,006 ","12,230 ","10,804 ","10,823 ",877 ,"2,370 ","3,160 ","4,346 ","1,895 ","2,833 ","2,561 ","7,838 ","1,952 ","3,117 ","3,647 ",
