"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2021/3/1,"3,192 ","7,431 ","17,416 ","34,226 ","11,608 ","8,015 ","6,930 ","3,504 ","2,056 ","7,489 ","1,894 ","3,423 ","10,607 ","5,019 ","8,903 ","4,645 ","5,640 ","3,494 ","8,302 ","4,917 ","4,692 ","5,708 ","2,139 ","15,280 ","3,660 ","13,637 ","8,448 ","11,772 ","15,152 ","12,065 ","7,484 ","24,609 ","12,466 ","19,288 ","14,687 ","3,609 ","25,662 ","17,870 ","18,315 ","15,130 ","7,764 ","143,010 ","36,525 ","15,102 ","15,255 ","22,873 ","24,836 ","34,935 ","17,091 ","9,253 ","19,327 ","5,748 ","6,139 ","14,659 ","6,579 ","2,972 ","2,270 ","8,877 ","7,688 ","10,122 ","42,007 ","5,828 ","10,634 ","5,522 ","15,464 ","16,071 ","24,100 ","31,669 ","26,649 ","17,647 ","24,055 ","60,982 ","9,601 ","23,951 ","22,881 ","12,588 ","46,157 ","12,365 ","11,525 ","7,222 ","15,719 ","10,325 ","20,960 ","10,984 ","11,487 ","8,277 ","14,073 ","10,112 ","11,506 ","15,000 ","6,464 ","7,103 ","4,278 ","2,052 ","6,122 ","6,401 ","7,803 ","11,460 ","10,149 ","15,989 ","16,592 ","9,606 ","8,287 ","8,317 ","8,478 ","8,553 ","6,830 ","7,201 ",718 ,"2,133 ","2,428 ","3,714 ","1,017 ","1,110 ","1,587 ","9,299 ","1,685 ","2,817 ","2,443 "
2021/3/2,"4,018 ","15,378 ","41,759 ","39,498 ","27,177 ","16,056 ","12,268 ","4,444 ","3,576 ","13,759 ","2,779 ","4,752 ","4,421 ","10,549 ","10,264 ","19,711 ","19,357 ","6,145 ","9,723 ","3,224 ","9,035 ","8,915 ","7,282 ","29,818 ","3,312 ","12,989 ","12,339 ","17,278 ","24,960 ","17,537 ","10,573 ","27,831 ","17,567 ","34,641 ","25,499 ","12,058 ","36,382 ","26,613 ","27,611 ","21,619 ","25,328 ","123,268 ","37,229 ","19,424 ","24,342 ","25,510 ","26,810 ","29,568 ","23,844 ","13,684 ","31,370 ","7,465 ","9,618 ","17,601 ","5,223 ","3,899 ","3,600 ","13,092 ","9,160 ","11,284 ","30,702 ","10,088 ","12,968 ","7,853 ","22,725 ","27,140 ","30,774 ","34,486 ","41,347 ","26,037 ","26,231 ","54,961 ","22,921 ","31,160 ","31,704 ","19,408 ","57,670 ","21,292 ","16,484 ","14,569 ","19,193 ","14,375 ","24,852 ","19,573 ","8,613 ","11,279 ","39,514 ","23,562 ","24,882 ","23,964 ","14,659 ","11,823 ","6,320 ","5,572 ","6,709 ","11,108 ","9,911 ","13,879 ","17,689 ","29,597 ","22,772 ","15,580 ","12,331 ","12,702 ","13,418 ","12,060 ","12,364 ","10,666 ","1,754 ","2,454 ","3,614 ","4,789 ","2,248 ","3,449 ","2,997 ","7,636 ","2,141 ","3,681 ","4,168 "
2021/3/3,"3,837 ","15,198 ","42,210 ","40,984 ","26,994 ","15,593 ","12,163 ","4,279 ","3,493 ","13,708 ","2,780 ","4,707 ","4,889 ","10,719 ","10,674 ","19,544 ","19,321 ","6,299 ","9,861 ","3,518 ","9,219 ","8,821 ","6,967 ","30,458 ","3,212 ","13,330 ","12,550 ","17,496 ","25,742 ","17,528 ","10,699 ","28,356 ","17,867 ","35,210 ","26,584 ","11,898 ","36,062 ","26,709 ","27,274 ","22,032 ","24,485 ","116,021 ","39,361 ","19,516 ","24,870 ","25,772 ","27,528 ","33,098 ","24,363 ","13,837 ","32,185 ","7,528 ","9,634 ","18,669 ","5,514 ","3,853 ","3,678 ","13,455 ","9,584 ","11,405 ","32,014 ","10,057 ","13,171 ","8,128 ","23,121 ","27,190 ","31,013 ","34,320 ","41,554 ","26,373 ","27,101 ","56,459 ","23,132 ","31,635 ","32,288 ","19,568 ","57,982 ","21,094 ","16,554 ","14,745 ","18,881 ","14,987 ","24,959 ","19,488 ","9,091 ","11,733 ","39,767 ","23,621 ","25,022 ","23,882 ","14,284 ","11,873 ","6,473 ","5,580 ","6,603 ","10,865 ","9,561 ","13,762 ","17,696 ","29,390 ","23,003 ","15,497 ","12,548 ","12,569 ","13,156 ","12,041 ","12,439 ","10,959 ","1,538 ","2,412 ","3,459 ","4,614 ","2,275 ","3,427 ","2,868 ","7,115 ","2,170 ","3,614 ","4,281 "
2021/3/4,"3,886 ","15,299 ","42,005 ","41,249 ","26,967 ","15,648 ","12,517 ","4,408 ","3,617 ","13,639 ","2,820 ","4,673 ","5,082 ","10,730 ","11,204 ","19,404 ","19,358 ","6,353 ","10,030 ","3,618 ","9,013 ","8,762 ","6,961 ","30,918 ","3,346 ","13,581 ","12,746 ","17,406 ","25,745 ","17,814 ","10,660 ","29,047 ","17,973 ","35,194 ","26,947 ","11,847 ","36,193 ","26,965 ","27,541 ","21,925 ","23,595 ","119,164 ","39,981 ","19,645 ","25,080 ","25,808 ","28,329 ","35,553 ","24,624 ","13,648 ","31,746 ","7,599 ","9,731 ","18,677 ","5,555 ","4,070 ","3,594 ","13,388 ","9,387 ","11,776 ","33,482 ","10,118 ","13,169 ","8,093 ","23,149 ","27,305 ","31,196 ","34,668 ","41,658 ","26,423 ","27,577 ","57,368 ","23,250 ","32,388 ","33,271 ","19,593 ","59,137 ","21,138 ","16,449 ","15,090 ","19,320 ","15,110 ","25,430 ","19,708 ","9,509 ","11,422 ","39,881 ","23,556 ","24,685 ","24,094 ","14,564 ","11,791 ","6,279 ","5,602 ","6,770 ","10,820 ","9,617 ","13,987 ","17,702 ","29,413 ","23,416 ","15,700 ","12,515 ","12,533 ","13,163 ","12,070 ","12,489 ","10,760 ","1,532 ","2,316 ","3,489 ","4,678 ","2,281 ","3,442 ","2,918 ","7,306 ","2,157 ","3,624 ","4,245 "
2021/3/5,"4,384 ","15,685 ","43,993 ","46,773 ","28,605 ","16,572 ","13,031 ","4,596 ","3,791 ","15,430 ","2,987 ","4,993 ","6,084 ","11,160 ","12,407 ","20,012 ","20,049 ","7,018 ","10,685 ","3,875 ","10,034 ","9,511 ","6,990 ","32,654 ","3,458 ","14,682 ","13,524 ","19,019 ","27,513 ","19,157 ","11,393 ","33,176 ","20,099 ","37,195 ","28,878 ","11,931 ","38,626 ","28,486 ","29,035 ","22,703 ","24,310 ","140,452 ","46,195 ","20,658 ","26,393 ","28,923 ","30,981 ","40,206 ","26,947 ","14,593 ","34,667 ","8,011 ","10,318 ","20,769 ","5,971 ","4,428 ","3,691 ","14,263 ","10,103 ","13,338 ","39,059 ","10,652 ","14,364 ","8,716 ","24,451 ","28,160 ","33,504 ","39,592 ","44,330 ","28,045 ","29,399 ","67,271 ","24,546 ","35,373 ","37,133 ","21,730 ","67,144 ","22,349 ","17,906 ","16,012 ","21,624 ","15,856 ","28,778 ","20,988 ","10,620 ","12,701 ","40,610 ","24,737 ","26,073 ","25,849 ","16,535 ","12,974 ","6,853 ","5,809 ","7,215 ","11,390 ","10,495 ","16,154 ","18,670 ","30,796 ","25,551 ","16,209 ","13,257 ","13,402 ","13,858 ","12,696 ","13,454 ","11,683 ","1,623 ","2,548 ","3,600 ","4,941 ","2,418 ","3,549 ","2,955 ","8,642 ","2,369 ","3,875 ","4,668 "
2021/3/6,"2,138 ","9,559 ","24,617 ","45,410 ","17,040 ","13,033 ","8,522 ","3,767 ","2,618 ","8,512 ","1,823 ","2,955 ","4,301 ","7,573 ","9,653 ","5,563 ","7,393 ","4,003 ","8,878 ","2,836 ","5,804 ","6,341 ","2,479 ","16,907 ","3,919 ","10,417 ","9,718 ","14,091 ","18,254 ","13,908 ","9,156 ","28,215 ","16,233 ","27,697 ","18,101 ","4,999 ","29,833 ","20,486 ","20,549 ","16,483 ","10,346 ","134,948 ","44,646 ","15,394 ","16,638 ","21,996 ","22,250 ","24,973 ","18,517 ","9,084 ","21,958 ","6,236 ","6,038 ","14,379 ","5,191 ","3,042 ","1,665 ","7,757 ","7,189 ","9,169 ","26,147 ","5,944 ","9,937 ","6,315 ","16,468 ","16,836 ","27,834 ","33,560 ","31,687 ","20,915 ","23,508 ","68,332 ","14,756 ","29,450 ","30,499 ","16,824 ","53,423 ","15,810 ","13,938 ","8,399 ","14,973 ","8,371 ","21,393 ","13,756 ","8,819 ","9,264 ","18,662 ","19,880 ","14,802 ","15,507 ","8,940 ","7,727 ","4,623 ","2,567 ","5,203 ","7,594 ","8,898 ","12,092 ","12,879 ","19,126 ","20,036 ","10,942 ","8,994 ","10,014 ","9,708 ","9,457 ","7,439 ","8,013 ",804 ,"2,242 ","3,035 ","4,684 ","1,043 ","1,334 ","2,052 ","7,443 ","1,843 ","2,971 ","2,579 "
2021/3/7,"2,539 ","7,232 ","18,552 ","35,121 ","12,440 ","9,974 ","6,595 ","3,359 ","2,283 ","6,536 ","1,671 ","2,508 ","4,082 ","5,422 ","8,544 ","3,916 ","6,225 ","3,284 ","6,958 ","2,725 ","4,734 ","5,160 ","2,188 ","14,284 ","3,570 ","10,079 ","8,446 ","11,505 ","14,906 ","12,194 ","7,689 ","24,807 ","13,627 ","22,293 ","15,505 ","3,512 ","25,416 ","17,174 ","17,328 ","14,660 ","8,574 ","130,303 ","36,977 ","11,558 ","15,965 ","22,675 ","20,915 ","24,436 ","16,517 ","7,598 ","18,320 ","5,316 ","5,311 ","13,975 ","5,385 ","2,691 ","1,377 ","7,210 ","6,633 ","8,509 ","27,175 ","5,874 ","9,407 ","5,418 ","14,632 ","13,597 ","24,299 ","31,037 ","26,247 ","17,662 ","22,944 ","62,241 ","12,371 ","25,877 ","23,432 ","13,121 ","44,732 ","12,972 ","11,389 ","7,043 ","14,031 ","7,644 ","17,296 ","10,359 ","9,898 ","8,002 ","14,123 ","17,164 ","11,567 ","13,691 ","6,390 ","6,706 ","4,250 ","2,143 ","4,828 ","6,037 ","7,550 ","11,169 ","10,320 ","15,460 ","17,576 ","9,498 ","7,813 ","8,445 ","7,917 ","8,290 ","6,615 ","6,633 ",646 ,"1,952 ","2,548 ","3,877 ","1,031 ","1,176 ","1,618 ","8,524 ","1,608 ","2,606 ","2,334 "
2021/3/8,"3,787 ","14,832 ","40,910 ","39,099 ","26,578 ","14,950 ","12,148 ","4,296 ","3,504 ","13,801 ","2,646 ","4,600 ","4,434 ","10,090 ","10,940 ","18,863 ","18,972 ","6,144 ","9,567 ","3,525 ","8,909 ","8,686 ","6,784 ","30,127 ","3,145 ","13,300 ","12,480 ","16,974 ","24,880 ","17,143 ","10,351 ","26,947 ","16,888 ","33,356 ","24,854 ","11,375 ","35,421 ","25,947 ","27,025 ","21,607 ","24,563 ","122,025 ","37,707 ","19,219 ","24,114 ","25,046 ","26,906 ","27,754 ","23,442 ","13,728 ","31,750 ","7,331 ","9,493 ","18,303 ","5,116 ","3,960 ","3,358 ","14,236 ","9,305 ","11,412 ","32,201 ","9,983 ","13,136 ","8,118 ","22,749 ","26,835 ","30,451 ","35,087 ","40,708 ","25,645 ","26,687 ","55,460 ","22,037 ","30,037 ","31,324 ","18,833 ","57,445 ","20,449 ","16,327 ","14,624 ","19,300 ","14,685 ","24,359 ","18,595 ","8,858 ","11,194 ","38,376 ","22,877 ","24,413 ","23,723 ","13,992 ","11,355 ","6,266 ","5,387 ","6,528 ","10,613 ","9,330 ","13,745 ","17,651 ","28,594 ","22,101 ","15,448 ","12,236 ","12,199 ","12,984 ","11,809 ","12,290 ","10,488 ","1,613 ","2,362 ","3,450 ","4,686 ","2,257 ","3,333 ","2,855 ","7,675 ","2,086 ","3,603 ","4,163 "
2021/3/9,"3,797 ","15,313 ","41,616 ","40,432 ","27,519 ","15,737 ","12,433 ","4,417 ","3,558 ","13,992 ","2,879 ","4,726 ","5,568 ","10,574 ","10,824 ","19,342 ","19,343 ","6,241 ","9,972 ","3,669 ","9,047 ","8,959 ","7,167 ","30,634 ","3,254 ","13,816 ","12,482 ","17,232 ","25,059 ","17,493 ","10,582 ","28,525 ","17,998 ","34,570 ","25,923 ","11,629 ","36,163 ","26,671 ","27,277 ","21,926 ","24,867 ","114,647 ","38,515 ","19,641 ","24,905 ","26,507 ","27,875 ","29,448 ","24,442 ","14,067 ","31,744 ","7,564 ","9,755 ","18,856 ","5,380 ","3,963 ","3,535 ","14,296 ","9,504 ","11,761 ","33,143 ","10,097 ","12,820 ","8,068 ","23,102 ","27,179 ","31,083 ","34,754 ","41,290 ","26,262 ","27,258 ","56,936 ","23,369 ","31,167 ","32,778 ","19,811 ","57,866 ","21,487 ","16,679 ","14,613 ","19,197 ","15,006 ","24,656 ","19,519 ","9,633 ","11,207 ","38,790 ","23,537 ","24,836 ","24,193 ","14,347 ","11,550 ","6,349 ","5,528 ","6,692 ","10,705 ","9,710 ","13,937 ","18,063 ","29,033 ","23,266 ","15,484 ","12,428 ","12,476 ","13,104 ","11,886 ","12,509 ","10,679 ","1,682 ","2,373 ","3,440 ","4,599 ","2,330 ","3,442 ","2,899 ","7,139 ","2,157 ","3,601 ","4,261 "
2021/3/10,"3,953 ","15,345 ","42,650 ","42,047 ","27,603 ","15,866 ","12,410 ","4,377 ","3,567 ","14,062 ","2,878 ","4,757 ","5,567 ","10,747 ","11,289 ","19,433 ","19,723 ","6,307 ","10,133 ","3,707 ","9,078 ","8,997 ","6,707 ","30,763 ","3,218 ","13,511 ","12,745 ","17,660 ","25,655 ","18,021 ","10,618 ","29,770 ","18,138 ","35,460 ","26,854 ","11,873 ","36,416 ","27,095 ","27,633 ","22,210 ","24,434 ","118,354 ","40,020 ","19,801 ","25,561 ","27,050 ","28,706 ","30,353 ","24,713 ","13,893 ","32,606 ","7,667 ","9,858 ","19,000 ","5,564 ","4,077 ","3,600 ","14,832 ","9,638 ","11,906 ","34,045 ","10,233 ","13,376 ","8,261 ","23,237 ","27,355 ","31,638 ","35,622 ","42,058 ","26,506 ","27,669 ","58,437 ","23,981 ","32,301 ","33,147 ","20,088 ","58,888 ","21,368 ","16,939 ","14,830 ","19,542 ","15,156 ","24,966 ","19,613 ","9,821 ","11,803 ","39,623 ","23,526 ","25,160 ","24,320 ","14,385 ","11,791 ","6,444 ","5,606 ","6,844 ","11,018 ","9,898 ","14,271 ","18,126 ","29,821 ","23,731 ","15,769 ","12,681 ","12,756 ","13,283 ","12,147 ","12,576 ","11,050 ","1,564 ","2,296 ","3,432 ","4,650 ","2,316 ","3,480 ","2,948 ","7,415 ","2,191 ","3,686 ","4,170 "
