"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區,
2020/12/1,"4,146 ","15,509 ","42,749 ","40,218 ","27,701 ","16,311 ","12,557 ","4,487 ","3,443 ","13,999 ","2,631 ","4,613 ","4,493 ","11,016 ","10,601 ","19,432 ","18,922 ","6,231 ","9,638 ","3,190 ","8,999 ","8,755 ","7,397 ","30,658 ","3,347 ","12,829 ","11,867 ","17,324 ","26,110 ","17,517 ","10,461 ","27,958 ","17,907 ","34,685 ","25,221 ","12,042 ","37,048 ","26,896 ","27,606 ","21,838 ","24,826 ","119,030 ","37,070 ","19,557 ","24,624 ","25,109 ","27,148 ","28,367 ","26,343 ","13,865 ","31,149 ","7,522 ","9,662 ","17,501 ","5,611 ","3,767 ","3,544 ","14,111 ","9,215 ","10,829 ","31,494 ","9,856 ","12,691 ","7,995 ","22,679 ","26,970 ","30,963 ","38,658 ","41,890 ","26,071 ","26,392 ","52,481 ","23,744 ","30,765 ","32,082 ","20,375 ","60,585 ","21,526 ","16,477 ","14,942 ","19,512 ","14,507 ","26,206 ","19,172 ","7,925 ","11,431 ","39,522 ","25,773 ","24,782 ","23,280 ","14,873 ","11,217 ","6,351 ","5,474 ","6,684 ","11,151 ","9,891 ","13,639 ","17,808 ","29,012 ","22,624 ","15,288 ","12,311 ","12,413 ","13,093 ","12,228 ","12,219 ","10,580 ","1,486 ","2,472 ","3,541 ","4,600 ","2,093 ","3,223 ","2,953 ","7,547 ","2,065 ","3,432 ","4,136 ",
2020/12/2,"3,985 ","15,563 ","42,503 ","41,647 ","27,728 ","16,401 ","12,671 ","4,499 ","3,533 ","14,532 ","2,717 ","4,582 ","4,778 ","11,091 ","10,753 ","19,734 ","19,125 ","6,506 ","10,001 ","3,457 ","9,054 ","8,953 ","7,213 ","31,910 ","3,460 ","13,651 ","12,110 ","18,276 ","26,810 ","17,966 ","11,010 ","29,466 ","18,724 ","35,727 ","26,842 ","11,957 ","37,746 ","27,648 ","28,288 ","22,383 ","24,796 ","121,437 ","39,243 ","20,459 ","25,005 ","26,025 ","27,850 ","30,820 ","26,432 ","13,904 ","32,768 ","7,728 ","9,810 ","18,540 ","5,962 ","3,862 ","3,562 ","14,447 ","9,361 ","11,482 ","32,983 ","9,891 ","13,183 ","8,188 ","23,087 ","27,203 ","32,048 ","40,173 ","42,458 ","26,713 ","28,183 ","56,711 ","24,525 ","31,900 ","33,243 ","21,135 ","61,968 ","21,678 ","17,089 ","15,471 ","19,911 ","14,911 ","29,855 ","19,360 ","8,577 ","11,729 ","39,715 ","26,198 ","24,922 ","24,027 ","15,145 ","11,422 ","6,372 ","5,506 ","6,746 ","11,218 ","9,925 ","14,165 ","17,871 ","30,134 ","23,950 ","15,572 ","12,634 ","12,565 ","13,200 ","12,209 ","12,409 ","10,756 ","1,489 ","2,560 ","3,606 ","4,532 ","2,142 ","3,326 ","2,988 ","7,999 ","2,230 ","3,491 ","4,111 ",
2020/12/3,"4,131 ","15,897 ","43,911 ","43,379 ","28,055 ","16,968 ","12,671 ","4,324 ","3,515 ","14,559 ","2,846 ","4,700 ","4,638 ","10,918 ","11,370 ","19,486 ","19,490 ","6,277 ","9,982 ","3,426 ","9,272 ","9,019 ","7,669 ","38,229 ","3,587 ","13,214 ","12,262 ","17,939 ","26,421 ","17,952 ","11,002 ","29,684 ","18,400 ","35,487 ","26,524 ","11,876 ","37,283 ","27,318 ","27,949 ","22,123 ","24,978 ","126,712 ","39,720 ","20,427 ","24,783 ","25,908 ","27,779 ","29,911 ","27,215 ","13,968 ","31,948 ","7,607 ","9,739 ","18,096 ","5,717 ","3,763 ","3,432 ","14,400 ","9,250 ","11,024 ","32,696 ","10,068 ","13,013 ","8,034 ","23,084 ","27,525 ","31,969 ","40,759 ","42,294 ","26,601 ","28,131 ","56,012 ","24,968 ","32,218 ","34,818 ","21,039 ","64,991 ","21,752 ","16,950 ","15,804 ","22,198 ","14,772 ","29,756 ","19,555 ","8,298 ","11,741 ","40,311 ","26,743 ","25,299 ","23,776 ","15,010 ","11,311 ","6,278 ","5,427 ","6,613 ","11,148 ","9,975 ","14,058 ","17,828 ","29,699 ","23,881 ","15,652 ","12,557 ","12,877 ","13,444 ","12,138 ","12,234 ","10,765 ","1,457 ","2,425 ","3,566 ","4,700 ","2,148 ","3,281 ","2,875 ","7,849 ","2,184 ","3,457 ","4,062 ",
2020/12/4,"4,951 ","16,559 ","45,335 ","49,979 ","29,669 ","18,235 ","13,529 ","4,766 ","3,732 ","15,877 ","2,853 ","4,955 ","5,713 ","12,005 ","13,402 ","20,361 ","20,293 ","7,069 ","10,958 ","3,620 ","10,273 ","9,662 ","7,906 ","41,260 ","3,824 ","13,932 ","12,954 ","19,325 ","29,182 ","19,583 ","11,860 ","34,804 ","20,907 ","37,860 ","30,307 ","12,306 ","39,567 ","28,723 ","29,549 ","23,135 ","24,849 ","158,598 ","47,617 ","21,854 ","26,379 ","29,395 ","30,664 ","33,787 ","28,795 ","14,540 ","34,826 ","8,040 ","10,373 ","20,310 ","6,771 ","4,130 ","3,606 ","14,845 ","9,920 ","12,928 ","38,614 ","10,569 ","14,554 ","8,636 ","24,559 ","28,116 ","35,610 ","52,764 ","45,549 ","28,862 ","32,467 ","68,720 ","26,357 ","37,371 ","39,535 ","23,976 ","77,913 ","23,311 ","18,556 ","16,566 ","25,222 ","15,452 ","35,542 ","20,910 ","8,907 ","12,831 ","41,742 ","27,696 ","26,448 ","25,190 ","16,320 ","12,114 ","6,809 ","5,723 ","7,228 ","11,465 ","10,573 ","16,752 ","19,045 ","30,955 ","25,946 ","16,297 ","13,464 ","13,706 ","14,068 ","12,852 ","13,343 ","11,704 ","1,510 ","2,774 ","3,813 ","5,196 ","2,289 ","3,479 ","3,038 ","10,788 ","2,370 ","3,806 ","4,949 ",
2020/12/5,"2,650 ","10,795 ","27,306 ","48,988 ","17,501 ","12,855 ","8,859 ","3,827 ","2,845 ","9,162 ","2,044 ","3,271 ","6,136 ","7,676 ","13,249 ","5,744 ","7,494 ","4,430 ","9,596 ","3,255 ","6,464 ","7,103 ","3,085 ","28,310 ","3,960 ","12,051 ","10,219 ","15,549 ","20,323 ","16,322 ","10,033 ","32,515 ","17,766 ","29,387 ","28,384 ","6,620 ","33,125 ","23,070 ","23,478 ","18,633 ","11,587 ","170,400 ","51,140 ","18,407 ","18,664 ","30,924 ","28,101 ","32,599 ","25,181 ","10,868 ","26,154 ","6,964 ","7,206 ","17,342 ","7,461 ","3,465 ","1,855 ","9,088 ","8,428 ","10,217 ","35,409 ","7,425 ","13,195 ","7,948 ","19,979 ","20,076 ","37,602 ","81,239 ","37,500 ","24,563 ","39,768 ","85,314 ","16,594 ","33,613 ","34,828 ","20,098 ","75,904 ","17,763 ","16,034 ","9,747 ","19,362 ","10,664 ","33,946 ","14,438 ","9,431 ","11,630 ","24,596 ","21,034 ","15,896 ","17,677 ","14,524 ","11,496 ","6,381 ","2,788 ","6,898 ","9,453 ","9,874 ","13,848 ","14,225 ","21,048 ","22,276 ","13,017 ","10,756 ","12,087 ","11,401 ","10,887 ","9,370 ","9,715 ",883 ,"2,778 ","3,514 ","5,281 ","1,499 ","1,481 ","2,353 ","18,017 ","2,320 ","3,957 ","4,398 ",
2020/12/6,"3,070 ","9,823 ","21,025 ","38,734 ","15,430 ","11,521 ","6,873 ","3,372 ","2,275 ","6,719 ","1,522 ","2,488 ","5,490 ","5,496 ","10,607 ","4,502 ","6,376 ","3,334 ","7,523 ","2,570 ","5,089 ","5,484 ","2,562 ","21,309 ","3,992 ","10,834 ","8,267 ","12,846 ","16,331 ","14,524 ","8,588 ","32,204 ","15,511 ","23,871 ","19,869 ","4,207 ","27,280 ","18,771 ","19,193 ","15,313 ","9,729 ","165,607 ","41,092 ","13,191 ","17,279 ","30,436 ","22,627 ","28,887 ","21,500 ","8,099 ","20,537 ","5,905 ","6,062 ","14,603 ","6,679 ","2,774 ","1,449 ","6,999 ","7,121 ","9,154 ","32,566 ","6,515 ","11,330 ","6,057 ","16,517 ","14,937 ","29,572 ","55,430 ","32,157 ","20,343 ","40,590 ","69,454 ","14,500 ","26,503 ","26,799 ","15,961 ","63,962 ","14,276 ","13,144 ","8,207 ","18,992 ","8,953 ","28,227 ","10,431 ","8,663 ","9,231 ","15,604 ","17,905 ","12,609 ","14,083 ","7,336 ","7,647 ","4,840 ","2,236 ","5,570 ","6,940 ","8,242 ","12,138 ","11,333 ","16,548 ","17,765 ","10,365 ","8,850 ","9,346 ","9,279 ","9,198 ","7,439 ","7,607 ",734 ,"2,324 ","2,778 ","4,560 ","1,032 ","1,108 ","1,730 ","13,637 ","1,960 ","3,061 ","3,373 ",
2020/12/7,"4,140 ","15,011 ","41,033 ","39,929 ","26,943 ","16,083 ","12,304 ","4,402 ","3,375 ","13,840 ","2,637 ","4,576 ","4,934 ","10,080 ","10,555 ","18,616 ","18,390 ","5,983 ","9,564 ","3,369 ","8,834 ","8,641 ","7,192 ","29,865 ","3,322 ","13,199 ","11,707 ","17,504 ","25,159 ","17,318 ","10,339 ","27,889 ","17,239 ","33,482 ","23,576 ","11,053 ","35,627 ","26,111 ","27,269 ","21,791 ","24,329 ","131,954 ","37,913 ","20,083 ","24,043 ","26,431 ","26,960 ","30,473 ","23,670 ","13,660 ","30,596 ","7,293 ","9,252 ","18,030 ","5,682 ","3,659 ","3,359 ","13,639 ","9,120 ","11,234 ","32,875 ","9,900 ","13,181 ","8,197 ","22,784 ","27,045 ","31,810 ","43,652 ","41,302 ","25,831 ","27,669 ","55,297 ","22,999 ","30,127 ","31,879 ","19,678 ","63,396 ","20,684 ","16,976 ","15,305 ","20,143 ","14,628 ","27,059 ","18,768 ","8,083 ","11,294 ","36,683 ","22,898 ","24,196 ","23,073 ","8,847 ","10,569 ","6,147 ","5,181 ","6,419 ","10,109 ","9,538 ","13,748 ","17,126 ","28,378 ","21,983 ","15,375 ","12,343 ","12,245 ","12,965 ","11,836 ","12,008 ","10,541 ","1,378 ","2,384 ","3,405 ","4,585 ","2,154 ","3,213 ","2,743 ","9,687 ","2,033 ","3,322 ","4,013 ",
2020/12/8,"4,124 ","15,772 ","43,794 ","42,443 ","28,368 ","16,518 ","12,706 ","4,448 ","3,486 ","14,382 ","2,664 ","4,777 ","4,840 ","10,782 ","11,035 ","19,591 ","19,093 ","6,294 ","9,904 ","3,458 ","9,266 ","8,953 ","7,488 ","30,977 ","3,528 ","13,579 ","12,151 ","17,900 ","26,100 ","17,956 ","10,784 ","28,846 ","18,199 ","35,529 ","26,459 ","11,999 ","37,217 ","27,357 ","27,775 ","22,275 ","25,059 ","123,401 ","39,562 ","20,399 ","25,021 ","26,512 ","27,614 ","30,536 ","24,285 ","14,156 ","32,008 ","7,513 ","9,688 ","18,307 ","5,681 ","3,883 ","3,479 ","14,339 ","9,190 ","11,276 ","32,209 ","9,931 ","12,958 ","8,160 ","23,021 ","27,472 ","32,276 ","41,224 ","42,719 ","26,824 ","27,465 ","55,516 ","24,205 ","31,284 ","33,344 ","20,728 ","62,429 ","22,019 ","16,656 ","15,345 ","19,609 ","14,858 ","26,711 ","19,593 ","8,482 ","11,614 ","40,105 ","24,189 ","25,141 ","23,729 ","14,780 ","11,326 ","6,403 ","5,681 ","6,769 ","10,979 ","9,817 ","13,833 ","17,891 ","29,406 ","23,266 ","15,485 ","12,528 ","12,700 ","13,253 ","12,122 ","12,474 ","10,822 ","1,492 ","2,512 ","3,493 ","4,512 ","2,164 ","3,281 ","2,910 ","8,265 ","2,120 ","3,370 ","4,117 ",
2020/12/9,"4,212 ","15,936 ","44,217 ","44,436 ","28,785 ","17,218 ","12,934 ","4,516 ","3,558 ","14,328 ","2,721 ","4,679 ","4,550 ","11,164 ","11,615 ","19,781 ","19,561 ","6,428 ","9,921 ","3,388 ","9,453 ","9,076 ","7,375 ","31,918 ","3,584 ","13,277 ","12,203 ","18,106 ","26,634 ","17,927 ","11,125 ","29,233 ","18,651 ","36,770 ","27,474 ","12,034 ","37,821 ","27,782 ","28,317 ","22,472 ","25,583 ","124,040 ","41,432 ","20,818 ","24,760 ","25,778 ","27,511 ","29,512 ","24,442 ","14,016 ","32,117 ","7,599 ","9,560 ","17,993 ","5,715 ","3,881 ","3,573 ","14,551 ","9,324 ","11,164 ","32,045 ","9,837 ","12,807 ","8,044 ","23,218 ","27,754 ","32,366 ","41,271 ","43,128 ","27,097 ","27,260 ","57,175 ","25,295 ","32,205 ","34,467 ","21,148 ","64,353 ","22,348 ","17,080 ","15,636 ","20,393 ","14,729 ","27,220 ","19,936 ","8,280 ","11,960 ","41,023 ","24,018 ","25,612 ","23,996 ","14,966 ","11,520 ","6,586 ","5,653 ","6,801 ","11,554 ","10,563 ","14,105 ","18,532 ","30,426 ","24,070 ","15,833 ","12,558 ","13,043 ","13,740 ","12,459 ","12,486 ","10,829 ","1,472 ","2,585 ","3,699 ","4,755 ","2,238 ","3,385 ","2,983 ","8,172 ","2,199 ","3,687 ","4,237 ",
2020/12/10,"4,296 ","15,876 ","43,922 ","44,803 ","28,868 ","16,964 ","12,672 ","4,429 ","3,574 ","14,644 ","2,739 ","4,634 ","4,956 ","11,256 ","11,341 ","19,693 ","19,545 ","6,307 ","10,271 ","3,582 ","9,247 ","9,175 ","7,470 ","37,028 ","3,709 ","13,586 ","12,413 ","17,930 ","26,355 ","18,403 ","10,817 ","29,868 ","18,744 ","36,212 ","27,460 ","11,882 ","37,580 ","27,189 ","28,185 ","22,447 ","24,534 ","129,298 ","42,086 ","20,557 ","25,221 ","26,972 ","28,878 ","32,725 ","24,921 ","13,853 ","32,086 ","7,677 ","9,856 ","18,659 ","5,687 ","3,851 ","3,618 ","14,632 ","9,516 ","11,707 ","34,821 ","10,106 ","13,486 ","8,188 ","23,648 ","27,881 ","33,341 ","44,067 ","43,304 ","27,505 ","28,673 ","58,656 ","24,637 ","32,340 ","35,629 ","21,140 ","67,330 ","22,326 ","17,289 ","16,040 ","21,821 ","15,096 ","29,125 ","19,679 ","8,628 ","12,038 ","40,540 ","24,046 ","25,252 ","24,199 ","14,811 ","11,780 ","6,335 ","5,520 ","6,864 ","11,275 ","10,197 ","13,952 ","18,109 ","29,574 ","23,945 ","15,763 ","12,856 ","13,009 ","13,505 ","12,280 ","12,627 ","10,940 ","1,461 ","2,519 ","3,657 ","4,664 ","2,180 ","3,273 ","2,856 ","8,612 ","2,159 ","3,553 ","4,151 ",
