"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2020/9/1,"4,686 ","14,372 ","40,594 ","39,649 ","26,470 ","14,013 ","11,783 ","4,209 ","3,335 ","12,120 ","2,514 ","4,246 ","3,788 ","8,108 ","9,689 ","17,741 ","18,365 ","6,112 ","9,147 ","3,139 ","8,154 ","8,443 ","5,990 ","29,258 ","3,394 ","12,260 ","11,004 ","16,136 ","23,812 ","15,290 ","10,154 ","25,199 ","17,322 ","32,289 ","24,518 ","9,938 ","34,708 ","25,714 ","25,742 ","20,481 ","24,817 ","117,265 ","37,110 ","19,730 ","22,576 ","24,184 ","22,368 ","23,514 ","22,241 ","13,286 ","29,394 ","6,944 ","8,916 ","16,312 ","4,362 ","3,605 ","3,261 ","11,470 ","8,493 ","9,846 ","27,268 ","9,398 ","12,065 ","7,618 ","21,576 ","24,573 ","29,253 ","33,938 ","37,987 ","25,038 ","26,000 ","51,955 ","21,181 ","28,081 ","31,414 ","19,342 ","57,810 ","20,722 ","16,163 ","14,557 ","18,050 ","14,344 ","24,524 ","18,304 ","8,201 ","10,887 ","38,411 ","22,157 ","23,538 ","23,085 ","8,423 ","10,536 ","5,754 ","5,181 ","6,146 ","10,048 ","9,254 ","12,779 ","17,058 ","27,640 ","22,511 ","14,523 ","11,927 ","11,915 ","12,628 ","11,418 ","10,250 ","9,961 ","1,153 ","2,170 ","3,052 ","4,024 ","1,949 ","2,802 ","2,475 ","6,538 ","1,765 ","2,937 ","3,607 "
2020/9/2,"4,327 ","14,260 ","39,723 ","39,170 ","26,420 ","13,967 ","11,643 ","4,177 ","3,296 ","12,201 ","2,649 ","4,365 ","4,062 ","8,438 ","9,453 ","17,293 ","18,099 ","5,996 ","9,125 ","3,358 ","8,368 ","8,304 ","5,991 ","29,305 ","3,323 ","12,456 ","11,093 ","16,207 ","23,893 ","15,312 ","9,973 ","24,767 ","16,816 ","32,296 ","24,415 ","9,574 ","33,948 ","25,243 ","25,408 ","20,391 ","23,288 ","116,247 ","36,457 ","19,483 ","21,908 ","23,576 ","22,415 ","23,085 ","22,267 ","13,052 ","29,713 ","7,065 ","8,767 ","17,011 ","4,158 ","3,524 ","3,214 ","11,403 ","8,648 ","9,831 ","27,788 ","9,289 ","12,160 ","7,625 ","21,321 ","24,236 ","28,912 ","33,465 ","37,489 ","24,862 ","25,757 ","52,134 ","20,780 ","27,573 ","31,018 ","19,096 ","57,460 ","20,038 ","15,917 ","14,693 ","18,087 ","14,297 ","24,384 ","17,763 ","7,981 ","10,978 ","37,764 ","23,252 ","23,473 ","23,549 ","8,350 ","10,501 ","5,516 ","5,076 ","6,096 ","9,682 ","8,955 ","12,611 ","16,558 ","27,372 ","22,630 ","14,412 ","11,865 ","11,605 ","12,473 ","11,122 ","10,271 ","9,803 ","1,068 ","2,044 ","2,984 ","3,785 ","1,861 ","2,764 ","2,418 ","6,403 ","1,832 ","2,800 ","3,626 "
2020/9/3,"4,382 ","14,447 ","41,294 ","42,252 ","26,943 ","14,092 ","11,766 ","4,212 ","3,257 ","12,187 ","2,704 ","4,265 ","3,930 ","8,039 ","10,181 ","16,984 ","18,433 ","5,999 ","9,281 ","3,683 ","7,844 ","8,250 ","5,954 ","29,609 ","3,687 ","12,487 ","11,238 ","16,367 ","24,232 ","14,856 ","10,130 ","26,055 ","17,208 ","32,523 ","23,913 ","9,731 ","34,804 ","25,396 ","25,832 ","20,285 ","23,852 ","125,804 ","38,404 ","19,837 ","22,746 ","24,255 ","23,188 ","24,011 ","22,439 ","13,274 ","29,282 ","7,225 ","9,063 ","17,142 ","4,679 ","3,687 ","3,163 ","11,408 ","8,783 ","9,840 ","28,729 ","9,321 ","12,258 ","7,472 ","21,430 ","24,853 ","29,589 ","35,311 ","38,386 ","25,345 ","26,273 ","54,592 ","20,452 ","28,929 ","32,415 ","19,419 ","59,378 ","20,177 ","16,000 ","14,920 ","18,772 ","14,373 ","25,799 ","18,386 ","8,195 ","11,344 ","38,793 ","23,712 ","23,773 ","23,168 ","8,565 ","10,349 ","5,738 ","5,173 ","6,172 ","10,035 ","9,374 ","13,297 ","16,966 ","27,744 ","22,721 ","14,656 ","11,903 ","11,921 ","12,621 ","11,397 ","10,332 ","10,062 ","1,053 ","2,102 ","3,083 ","4,031 ","1,937 ","2,844 ","2,467 ","6,638 ","1,813 ","2,852 ","3,680 "
2020/9/4,"5,137 ","15,229 ","42,274 ","47,889 ","27,650 ","14,664 ","12,351 ","4,392 ","3,560 ","13,616 ","2,871 ","4,633 ","4,850 ","8,788 ","11,810 ","17,571 ","18,867 ","6,673 ","9,993 ","3,511 ","8,411 ","8,882 ","5,903 ","30,863 ","3,823 ","13,541 ","11,951 ","17,690 ","26,082 ","16,546 ","10,999 ","28,337 ","18,989 ","34,013 ","26,360 ","9,807 ","36,856 ","26,946 ","27,110 ","21,381 ","24,200 ","143,791 ","43,647 ","21,036 ","23,933 ","25,947 ","26,033 ","26,944 ","24,506 ","13,995 ","30,846 ","7,641 ","9,425 ","18,923 ","5,332 ","3,796 ","3,380 ","12,669 ","9,185 ","10,570 ","31,768 ","9,842 ","13,484 ","8,103 ","22,912 ","26,237 ","32,261 ","39,050 ","40,217 ","27,059 ","28,333 ","61,836 ","21,370 ","31,630 ","36,051 ","21,398 ","66,908 ","21,551 ","17,125 ","15,763 ","20,832 ","15,097 ","32,482 ","19,590 ","8,974 ","12,174 ","39,205 ","24,294 ","24,489 ","24,745 ","8,597 ","11,125 ","6,089 ","5,478 ","6,579 ","10,317 ","9,869 ","14,683 ","17,894 ","28,541 ","24,541 ","15,478 ","12,591 ","12,519 ","13,434 ","12,199 ","10,840 ","10,629 ","1,156 ","2,321 ","3,103 ","4,394 ","2,122 ","2,932 ","2,493 ","7,488 ","1,970 ","3,195 ","3,847 "
2020/9/5,"3,568 ","9,719 ","22,341 ","44,092 ","15,080 ","9,795 ","7,830 ","3,740 ","2,449 ","8,256 ","1,935 ","2,914 ","6,803 ","6,409 ","10,193 ","5,406 ","7,037 ","3,771 ","8,492 ","3,127 ","5,918 ","6,002 ","2,323 ","19,954 ","3,941 ","11,487 ","9,276 ","13,862 ","17,250 ","14,342 ","9,116 ","26,736 ","16,023 ","27,168 ","20,794 ","4,860 ","30,326 ","21,368 ","20,951 ","17,072 ","11,454 ","144,506 ","42,754 ","16,234 ","17,160 ","27,708 ","26,116 ","23,756 ","19,101 ","9,479 ","22,374 ","6,258 ","6,530 ","14,488 ","5,414 ","3,074 ","1,678 ","7,943 ","8,015 ","10,193 ","35,696 ","6,610 ","10,730 ","6,620 ","17,365 ","17,012 ","29,127 ","34,834 ","31,188 ","20,422 ","26,032 ","64,859 ","12,957 ","30,316 ","29,431 ","16,805 ","55,338 ","15,190 ","14,177 ","10,877 ","16,002 ","10,155 ","30,323 ","12,828 ","9,484 ","9,922 ","18,366 ","15,265 ","14,012 ","16,679 ","7,061 ","7,815 ","4,917 ","2,409 ","5,966 ","7,675 ","8,777 ","12,127 ","12,632 ","18,786 ","20,122 ","11,285 ","9,425 ","9,936 ","9,964 ","9,678 ","7,569 ","8,079 ",635 ,"2,235 ","2,581 ","4,238 ","1,089 ","1,083 ","1,798 ","7,305 ","1,781 ","2,809 ","2,763 "
2020/9/6,"3,667 ","7,796 ","16,808 ","34,280 ","11,968 ","7,823 ","6,211 ","3,281 ","2,043 ","6,109 ","1,482 ","2,828 ","7,120 ","5,019 ","8,638 ","4,424 ","5,705 ","3,164 ","6,706 ","3,041 ","4,544 ","4,895 ","2,065 ","14,845 ","4,028 ","11,107 ","7,644 ","11,564 ","14,332 ","12,043 ","7,771 ","24,715 ","13,211 ","20,613 ","15,454 ","3,789 ","24,426 ","16,723 ","16,919 ","13,848 ","9,165 ","140,636 ","34,210 ","11,746 ","15,561 ","22,795 ","21,636 ","20,033 ","15,713 ","7,127 ","17,846 ","5,150 ","5,383 ","12,766 ","4,741 ","2,520 ","1,414 ","6,994 ","6,428 ","8,586 ","33,555 ","5,862 ","9,698 ","5,130 ","14,520 ","13,067 ","24,291 ","32,156 ","25,108 ","16,556 ","21,901 ","55,807 ","11,441 ","25,667 ","21,996 ","13,443 ","47,881 ","12,284 ","11,431 ","6,894 ","14,216 ","9,016 ","26,199 ","9,774 ","8,850 ","7,944 ","13,762 ","11,324 ","10,718 ","13,634 ","5,987 ","6,524 ","4,068 ","1,957 ","5,246 ","5,911 ","7,126 ","10,790 ","10,079 ","15,156 ","16,648 ","9,115 ","7,545 ","8,133 ","8,178 ","8,229 ","6,910 ","6,625 ",569 ,"1,909 ","2,286 ","3,632 ",972 ,927 ,"1,433 ","8,139 ","1,650 ","2,354 ","2,620 "
2020/9/7,"4,655 ","13,954 ","39,278 ","39,359 ","26,022 ","14,506 ","11,404 ","4,100 ","3,211 ","12,160 ","2,656 ","4,038 ","4,398 ","8,261 ","9,677 ","18,436 ","17,664 ","5,549 ","8,797 ","3,306 ","8,418 ","8,238 ","5,786 ","29,368 ","3,498 ","12,657 ","11,069 ","16,436 ","24,262 ","15,292 ","9,915 ","25,023 ","16,708 ","31,852 ","23,524 ","11,136 ","33,831 ","24,954 ","25,572 ","20,220 ","24,391 ","127,682 ","36,395 ","19,736 ","22,352 ","24,148 ","24,753 ","24,967 ","22,150 ","13,398 ","30,270 ","6,998 ","8,971 ","16,844 ","4,567 ","3,391 ","3,125 ","12,317 ","8,921 ","10,059 ","30,360 ","9,505 ","12,817 ","7,612 ","21,659 ","25,778 ","29,730 ","34,903 ","38,564 ","24,852 ","25,937 ","54,835 ","18,695 ","29,108 ","31,023 ","18,515 ","58,363 ","19,667 ","15,847 ","14,660 ","18,506 ","14,951 ","29,362 ","17,683 ","8,192 ","10,874 ","36,891 ","22,083 ","23,199 ","22,866 ","9,063 ","10,335 ","5,925 ","5,164 ","6,285 ","9,912 ","8,990 ","12,954 ","16,928 ","27,156 ","21,566 ","14,708 ","11,829 ","11,683 ","12,558 ","11,407 ","10,398 ","9,875 ","1,122 ","2,111 ","2,995 ","3,942 ","1,921 ","2,726 ","2,405 ","7,011 ","1,813 ","2,891 ","3,694 "
2020/9/8,"4,433 ","14,298 ","41,169 ","41,743 ","26,916 ","15,208 ","11,688 ","4,042 ","3,413 ","12,390 ","2,700 ","4,286 ","4,761 ","9,078 ","10,211 ","18,918 ","17,865 ","5,805 ","9,283 ","3,346 ","8,684 ","8,316 ","6,017 ","29,579 ","3,479 ","12,954 ","11,318 ","16,732 ","24,925 ","15,914 ","10,122 ","26,354 ","17,316 ","32,941 ","25,563 ","9,742 ","35,187 ","25,827 ","25,929 ","20,519 ","24,680 ","124,819 ","38,332 ","20,110 ","23,064 ","25,477 ","25,008 ","26,700 ","23,747 ","13,680 ","30,986 ","7,198 ","9,450 ","17,239 ","4,791 ","3,680 ","3,344 ","12,119 ","8,750 ","10,151 ","30,231 ","9,430 ","12,702 ","7,670 ","22,174 ","26,198 ","30,515 ","35,328 ","39,659 ","25,440 ","26,219 ","54,086 ","20,374 ","29,800 ","32,398 ","19,210 ","58,797 ","20,611 ","16,299 ","15,169 ","18,454 ","14,840 ","26,233 ","18,434 ","8,389 ","11,252 ","38,142 ","22,985 ","23,709 ","23,364 ","9,512 ","10,782 ","5,993 ","5,228 ","6,248 ","10,090 ","9,082 ","13,307 ","17,179 ","27,550 ","22,845 ","15,036 ","12,145 ","11,945 ","12,729 ","11,591 ","10,564 ","10,014 ","1,205 ","2,124 ","3,055 ","3,999 ","1,973 ","2,827 ","2,465 ","6,618 ","1,934 ","2,893 ","3,765 "
2020/9/9,"4,508 ","14,665 ","41,839 ","41,933 ","27,394 ","15,701 ","11,832 ","4,217 ","3,375 ","12,677 ","2,774 ","4,176 ","4,807 ","9,315 ","12,694 ","19,392 ","18,079 ","5,846 ","9,313 ","3,437 ","8,767 ","8,445 ","6,301 ","29,498 ","3,769 ","13,121 ","11,512 ","17,188 ","25,035 ","16,036 ","10,440 ","26,737 ","17,754 ","33,889 ","25,806 ","9,704 ","35,027 ","26,100 ","26,400 ","20,794 ","24,051 ","126,774 ","38,869 ","20,716 ","23,208 ","25,192 ","25,085 ","26,578 ","23,327 ","13,522 ","31,284 ","7,276 ","9,206 ","17,546 ","4,792 ","3,763 ","3,368 ","12,187 ","9,030 ","10,299 ","30,658 ","9,592 ","12,734 ","7,787 ","22,325 ","26,376 ","30,581 ","35,331 ","39,860 ","25,728 ","26,632 ","55,245 ","20,790 ","30,248 ","32,972 ","19,892 ","61,476 ","20,727 ","16,102 ","14,944 ","18,750 ","14,848 ","27,628 ","18,801 ","8,366 ","11,395 ","38,504 ","23,574 ","24,235 ","23,506 ","9,535 ","10,947 ","5,964 ","5,286 ","6,428 ","10,134 ","9,342 ","13,394 ","17,204 ","27,427 ","23,198 ","15,092 ","12,131 ","11,871 ","12,688 ","11,669 ","10,718 ","10,073 ","1,237 ","2,151 ","3,191 ","4,045 ","2,019 ","2,915 ","2,427 ","7,026 ","1,891 ","2,956 ","3,729 "
2020/9/10,"4,770 ","14,905 ","42,176 ","43,184 ","27,427 ","15,530 ","12,008 ","4,214 ","3,289 ","12,673 ","2,746 ","4,365 ","4,434 ","9,333 ","10,354 ","19,062 ","17,834 ","5,709 ","9,229 ","3,361 ","8,551 ","8,494 ","6,050 ","30,066 ","3,768 ","12,774 ","11,589 ","17,009 ","24,931 ","15,820 ","10,265 ","26,694 ","18,157 ","34,021 ","25,672 ","9,893 ","35,383 ","26,400 ","26,148 ","20,942 ","24,239 ","131,003 ","40,181 ","20,599 ","24,075 ","25,952 ","26,281 ","26,279 ","23,312 ","13,483 ","30,817 ","7,228 ","9,318 ","17,457 ","4,875 ","3,734 ","3,366 ","12,313 ","8,912 ","10,257 ","31,440 ","9,604 ","12,646 ","7,734 ","22,105 ","26,564 ","30,903 ","36,653 ","39,700 ","25,837 ","27,197 ","55,362 ","22,460 ","30,167 ","33,499 ","19,719 ","61,743 ","20,975 ","16,177 ","15,350 ","18,910 ","15,106 ","32,143 ","19,087 ","8,608 ","11,499 ","39,379 ","23,797 ","24,065 ","23,714 ","10,021 ","10,883 ","6,122 ","5,249 ","6,498 ","10,232 ","9,340 ","13,497 ","17,407 ","28,193 ","23,277 ","15,048 ","12,294 ","12,071 ","12,822 ","11,549 ","10,726 ","10,479 ","1,242 ","2,213 ","3,195 ","4,201 ","2,039 ","2,975 ","2,489 ","7,085 ","1,831 ","2,999 ","3,898 "
