"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2020/6/1,"3,850 ","13,557 ","36,911 ","34,488 ","24,253 ","13,898 ","10,711 ","3,894 ","3,077 ","12,465 ","2,445 ","4,142 ","3,890 ","8,775 ","9,063 ","17,518 ","16,757 ","5,332 ","8,265 ","3,050 ","7,914 ","7,596 ","5,497 ","27,698 ","3,120 ","11,740 ","10,455 ","15,893 ","22,074 ","15,487 ","9,353 ","22,794 ","15,434 ","30,572 ","22,208 ","10,418 ","32,960 ","24,182 ","24,800 ","20,147 ","22,597 ","109,243 ","31,738 ","18,283 ","21,974 ","23,155 ","24,714 ","24,359 ","21,418 ","12,383 ","27,915 ","6,708 ","8,287 ","16,552 ","4,040 ","3,313 ","3,045 ","12,633 ","8,485 ","9,311 ","30,070 ","9,137 ","11,751 ","7,344 ","21,044 ","24,384 ","27,914 ","31,795 ","37,589 ","23,876 ","24,470 ","45,701 ","19,103 ","27,015 ","28,226 ","16,896 ","52,741 ","18,749 ","14,997 ","13,767 ","16,662 ","13,239 ","22,074 ","16,944 ","7,546 ","10,172 ","35,150 ","20,172 ","22,032 ","21,546 ","12,495 ","10,036 ","5,655 ","4,881 ","5,727 ","9,597 ","8,685 ","12,458 ","15,635 ","26,066 ","20,056 ","14,073 ","11,363 ","11,204 ","12,122 ","10,961 ","10,916 ","9,513 ",814 ,"1,944 ","2,677 ","3,656 ","1,621 ","2,539 ","2,254 ","6,119 ","1,681 ","2,481 ","3,048 "
2020/6/2,"3,882 ","14,017 ","37,997 ","36,071 ","25,259 ","14,415 ","11,094 ","3,902 ","3,164 ","12,848 ","2,576 ","4,234 ","4,634 ","9,186 ","9,315 ","18,050 ","17,406 ","5,422 ","8,579 ","3,203 ","8,063 ","7,828 ","5,600 ","28,425 ","3,097 ","12,071 ","10,744 ","16,046 ","22,681 ","15,907 ","9,595 ","23,848 ","16,073 ","31,605 ","23,891 ","10,676 ","33,876 ","25,183 ","25,079 ","20,511 ","23,210 ","104,744 ","33,941 ","18,846 ","22,689 ","23,761 ","25,997 ","25,550 ","22,124 ","12,589 ","28,567 ","6,824 ","8,413 ","17,023 ","4,112 ","3,440 ","3,298 ","13,065 ","8,630 ","9,478 ","30,769 ","9,043 ","11,671 ","7,181 ","21,018 ","25,144 ","28,767 ","32,458 ","38,502 ","24,291 ","24,554 ","47,347 ","20,494 ","28,105 ","29,434 ","17,953 ","52,874 ","19,373 ","15,125 ","14,025 ","16,666 ","13,789 ","22,309 ","17,582 ","7,505 ","10,254 ","35,579 ","21,079 ","22,495 ","21,829 ","13,248 ","10,215 ","5,756 ","5,029 ","6,063 ","9,799 ","8,677 ","12,204 ","16,077 ","26,833 ","21,192 ","14,210 ","11,475 ","11,432 ","12,199 ","11,160 ","11,176 ","9,895 ",864 ,"1,896 ","2,776 ","3,787 ","1,666 ","2,527 ","2,238 ","5,839 ","1,743 ","2,610 ","3,102 "
2020/6/3,"3,842 ","14,296 ","38,343 ","38,385 ","25,434 ","14,703 ","11,343 ","4,074 ","3,235 ","13,222 ","2,609 ","4,367 ","5,381 ","9,735 ","9,674 ","17,983 ","17,484 ","5,565 ","8,804 ","3,431 ","8,275 ","7,924 ","5,379 ","28,513 ","3,406 ","12,787 ","11,064 ","16,486 ","22,715 ","16,288 ","9,816 ","24,800 ","16,627 ","32,384 ","24,325 ","10,829 ","34,266 ","25,531 ","25,636 ","20,815 ","22,906 ","108,011 ","35,644 ","19,344 ","23,063 ","24,566 ","27,142 ","26,840 ","22,597 ","12,634 ","29,303 ","7,039 ","8,439 ","17,757 ","4,510 ","3,483 ","3,346 ","13,417 ","8,981 ","9,930 ","32,490 ","9,105 ","12,133 ","7,594 ","21,541 ","24,908 ","29,156 ","32,787 ","39,373 ","24,943 ","25,405 ","49,632 ","21,411 ","28,728 ","30,548 ","18,365 ","54,944 ","19,640 ","15,710 ","14,067 ","17,294 ","13,977 ","23,220 ","17,684 ","8,083 ","10,487 ","35,856 ","21,274 ","22,653 ","22,154 ","13,077 ","10,530 ","5,904 ","4,980 ","6,037 ","10,094 ","9,187 ","12,630 ","16,336 ","27,400 ","22,484 ","14,349 ","11,720 ","11,656 ","12,480 ","11,357 ","11,196 ","9,939 ",666 ,"2,012 ","2,781 ","3,764 ","1,629 ","2,554 ","2,285 ","5,832 ","1,765 ","2,702 ","3,139 "
2020/6/4,"3,870 ","14,227 ","38,945 ","40,728 ","25,788 ","14,558 ","11,465 ","3,989 ","3,278 ","13,132 ","2,533 ","4,219 ","5,437 ","9,426 ","9,682 ","18,106 ","17,510 ","5,626 ","8,926 ","3,292 ","8,109 ","7,854 ","5,332 ","28,687 ","3,296 ","12,387 ","10,941 ","16,387 ","22,668 ","16,535 ","9,785 ","25,161 ","16,550 ","32,268 ","25,147 ","10,819 ","34,182 ","25,571 ","25,447 ","20,718 ","22,818 ","109,906 ","35,639 ","18,974 ","23,181 ","24,632 ","27,071 ","26,402 ","22,328 ","12,472 ","29,205 ","6,941 ","8,470 ","17,499 ","4,264 ","3,559 ","3,168 ","13,324 ","8,711 ","9,858 ","32,791 ","9,120 ","12,008 ","7,390 ","21,332 ","25,164 ","29,244 ","33,030 ","39,261 ","25,016 ","24,925 ","48,850 ","21,246 ","28,950 ","30,387 ","18,322 ","55,695 ","19,788 ","15,802 ","14,425 ","17,075 ","14,160 ","23,045 ","18,041 ","7,777 ","10,667 ","36,262 ","21,579 ","23,325 ","22,035 ","12,934 ","10,491 ","5,903 ","5,048 ","6,092 ","10,039 ","8,908 ","12,676 ","16,302 ","27,003 ","22,303 ","14,609 ","11,668 ","11,606 ","12,443 ","11,254 ","11,101 ","9,955 ",715 ,"2,002 ","2,790 ","3,711 ","1,706 ","2,484 ","2,258 ","5,861 ","1,829 ","2,687 ","3,227 "
2020/6/5,"4,270 ","14,640 ","40,038 ","45,072 ","26,661 ","15,632 ","12,126 ","4,341 ","3,393 ","14,785 ","2,755 ","4,544 ","5,720 ","9,880 ","10,739 ","18,631 ","17,716 ","6,428 ","9,444 ","3,452 ","8,923 ","8,638 ","5,572 ","29,765 ","3,657 ","13,084 ","11,609 ","17,579 ","24,432 ","17,594 ","10,496 ","28,333 ","18,478 ","33,787 ","25,901 ","10,919 ","35,957 ","26,738 ","26,953 ","21,430 ","22,910 ","130,307 ","41,151 ","20,146 ","24,483 ","25,936 ","29,695 ","28,831 ","23,778 ","13,045 ","30,538 ","7,571 ","8,880 ","19,116 ","4,754 ","3,725 ","3,281 ","13,945 ","9,434 ","10,875 ","36,355 ","9,569 ","12,969 ","7,806 ","22,399 ","25,928 ","31,426 ","37,179 ","41,362 ","25,976 ","26,804 ","57,158 ","21,738 ","31,669 ","34,832 ","20,462 ","64,335 ","20,611 ","16,829 ","15,016 ","19,254 ","14,382 ","24,894 ","19,081 ","8,393 ","11,250 ","37,054 ","22,120 ","23,686 ","23,369 ","14,500 ","10,871 ","6,241 ","5,260 ","6,318 ","10,375 ","9,684 ","14,824 ","17,081 ","28,320 ","24,256 ","15,117 ","12,327 ","12,329 ","13,124 ","11,885 ","11,776 ","10,758 ",703 ,"2,210 ","2,930 ","4,078 ","1,806 ","2,664 ","2,399 ","7,080 ","1,877 ","2,898 ","3,417 "
2020/6/6,"2,441 ","8,484 ","20,358 ","42,568 ","16,025 ","9,618 ","7,591 ","3,514 ","2,315 ","7,952 ","1,759 ","3,143 ","6,182 ","6,473 ","8,854 ","5,645 ","7,089 ","3,497 ","7,929 ","3,092 ","5,489 ","5,750 ","2,191 ","16,712 ","4,281 ","11,149 ","8,882 ","13,045 ","16,249 ","14,670 ","8,702 ","26,989 ","15,733 ","25,854 ","16,150 ","4,365 ","28,760 ","20,230 ","20,003 ","15,964 ","9,620 ","123,659 ","39,599 ","15,842 ","16,456 ","23,480 ","25,782 ","23,025 ","17,821 ","8,598 ","21,211 ","6,141 ","6,002 ","15,137 ","4,600 ","2,738 ","1,643 ","7,637 ","7,488 ","8,085 ","33,204 ","6,130 ","9,799 ","5,835 ","15,901 ","16,736 ","27,108 ","31,868 ","29,952 ","19,309 ","24,142 ","60,762 ","12,302 ","26,800 ","29,440 ","14,268 ","51,255 ","14,470 ","13,117 ","8,065 ","13,506 ","8,983 ","19,476 ","12,503 ","8,897 ","9,115 ","16,539 ","12,196 ","13,308 ","15,488 ","10,921 ","8,159 ","4,848 ","2,367 ","5,280 ","7,219 ","8,401 ","11,798 ","11,998 ","17,866 ","20,072 ","11,307 ","9,217 ","9,626 ","9,493 ","9,218 ","8,035 ","7,808 ",491 ,"2,212 ","2,594 ","4,105 ",998 ,"1,042 ","1,814 ","7,069 ","1,829 ","2,742 ","2,401 "
2020/6/7,"2,641 ","6,591 ","15,246 ","31,729 ","10,706 ","7,695 ","5,720 ","2,957 ","1,882 ","5,659 ","1,269 ","2,250 ","4,189 ","4,898 ","7,305 ","4,018 ","5,503 ","2,743 ","6,043 ","2,318 ","4,077 ","4,246 ","2,051 ","12,858 ","4,070 ","8,741 ","6,719 ","10,530 ","12,478 ","11,476 ","6,905 ","19,258 ","11,859 ","18,410 ","12,142 ","2,857 ","21,919 ","15,007 ","15,448 ","12,372 ","6,690 ","128,654 ","30,085 ","10,750 ","13,617 ","17,921 ","18,857 ","16,816 ","13,291 ","5,985 ","15,216 ","4,373 ","4,233 ","10,629 ","3,585 ","2,254 ","1,141 ","5,382 ","5,324 ","6,307 ","22,794 ","5,027 ","8,246 ","4,427 ","12,318 ","11,198 ","21,010 ","28,417 ","23,268 ","14,753 ","17,465 ","46,127 ","10,703 ","18,776 ","20,935 ","11,192 ","41,762 ","11,373 ","10,303 ","6,295 ","13,222 ","6,182 ","14,871 ","8,811 ","6,429 ","6,681 ","12,218 ","8,946 ","9,926 ","11,165 ","5,646 ","5,588 ","3,618 ","1,738 ","4,106 ","5,262 ","6,427 ","9,763 ","9,020 ","12,928 ","14,911 ","8,197 ","6,652 ","7,298 ","7,199 ","7,262 ","5,812 ","5,900 ",365 ,"1,740 ","2,103 ","3,268 ",766 ,862 ,"1,454 ","7,443 ","1,326 ","2,037 ","1,796 "
2020/6/8,"4,002 ","13,655 ","37,774 ","36,041 ","24,822 ","14,223 ","11,147 ","3,913 ","3,122 ","12,659 ","2,458 ","4,236 ","3,742 ","9,256 ","9,441 ","17,694 ","16,941 ","5,324 ","8,543 ","3,118 ","8,030 ","7,669 ","5,748 ","28,207 ","3,172 ","11,765 ","10,648 ","15,809 ","22,654 ","15,591 ","9,252 ","22,644 ","15,751 ","30,819 ","22,755 ","10,275 ","33,254 ","24,762 ","24,709 ","20,108 ","22,375 ","116,234 ","32,679 ","18,763 ","22,197 ","23,138 ","24,126 ","24,152 ","21,355 ","12,521 ","27,993 ","6,805 ","8,319 ","16,275 ","4,210 ","3,357 ","3,092 ","12,768 ","8,508 ","9,367 ","29,741 ","9,214 ","12,077 ","7,368 ","20,977 ","24,823 ","28,192 ","32,788 ","38,277 ","24,006 ","24,507 ","47,452 ","19,824 ","28,050 ","28,606 ","17,479 ","53,659 ","18,735 ","15,178 ","14,049 ","17,141 ","13,560 ","22,573 ","17,057 ","7,476 ","10,370 ","35,526 ","21,043 ","22,497 ","22,031 ","12,526 ","9,978 ","5,763 ","5,088 ","5,786 ","9,673 ","8,827 ","12,419 ","16,132 ","26,614 ","20,877 ","14,174 ","11,371 ","11,334 ","12,136 ","11,073 ","11,002 ","9,686 ",859 ,"2,003 ","2,817 ","3,748 ","1,650 ","2,570 ","2,476 ","6,397 ","1,712 ","2,612 ","3,093 "
2020/6/9,"4,089 ","14,075 ","38,325 ","38,080 ","25,545 ","14,540 ","11,429 ","3,947 ","3,095 ","12,892 ","2,725 ","4,112 ","4,879 ","9,690 ","9,499 ","18,128 ","17,512 ","5,506 ","8,745 ","3,174 ","8,022 ","7,948 ","5,645 ","28,743 ","3,144 ","12,074 ","10,899 ","16,498 ","23,292 ","16,366 ","9,608 ","23,976 ","16,369 ","32,004 ","24,549 ","10,685 ","34,103 ","25,523 ","25,616 ","20,673 ","23,651 ","110,421 ","34,215 ","19,536 ","22,991 ","24,532 ","26,914 ","26,195 ","23,097 ","13,046 ","29,059 ","7,016 ","8,641 ","17,435 ","4,459 ","3,505 ","3,351 ","13,451 ","8,897 ","9,718 ","30,984 ","9,160 ","11,940 ","7,526 ","21,265 ","25,291 ","29,666 ","33,158 ","39,202 ","24,378 ","25,046 ","48,838 ","21,205 ","28,863 ","30,464 ","18,129 ","54,263 ","19,616 ","15,446 ","14,238 ","16,935 ","14,053 ","22,870 ","17,857 ","7,697 ","10,475 ","35,920 ","21,210 ","22,812 ","22,140 ","13,083 ","10,400 ","5,787 ","5,004 ","6,052 ","9,863 ","9,172 ","12,411 ","16,407 ","27,512 ","22,001 ","14,448 ","11,545 ","11,669 ","12,567 ","11,204 ","11,301 ","10,004 ",862 ,"1,902 ","2,863 ","3,752 ","1,702 ","2,587 ","2,437 ","6,119 ","1,838 ","2,580 ","3,554 "
2020/6/10,"4,170 ","14,381 ","38,869 ","39,955 ","26,049 ","14,578 ","11,531 ","4,117 ","3,219 ","13,908 ","2,581 ","4,319 ","5,068 ","9,776 ","10,131 ","18,162 ","17,529 ","5,706 ","9,170 ","3,412 ","8,379 ","8,033 ","5,613 ","29,145 ","3,030 ","12,723 ","11,218 ","16,378 ","23,340 ","16,726 ","9,807 ","24,596 ","16,861 ","33,039 ","24,667 ","10,743 ","35,085 ","25,770 ","25,736 ","21,072 ","22,855 ","113,571 ","36,038 ","19,662 ","23,557 ","24,923 ","27,284 ","26,662 ","23,400 ","12,876 ","29,877 ","7,024 ","8,536 ","18,009 ","4,605 ","3,594 ","3,367 ","13,545 ","9,248 ","9,867 ","32,921 ","9,447 ","12,329 ","7,694 ","21,684 ","25,464 ","30,129 ","34,204 ","39,900 ","25,242 ","25,869 ","51,165 ","22,484 ","29,681 ","31,398 ","18,821 ","56,188 ","19,886 ","16,060 ","14,390 ","17,463 ","14,312 ","23,603 ","18,027 ","8,265 ","10,772 ","36,268 ","21,971 ","23,279 ","22,942 ","12,883 ","10,591 ","6,020 ","5,110 ","6,001 ","10,112 ","9,244 ","12,923 ","16,351 ","28,348 ","22,879 ","14,535 ","11,993 ","11,972 ","12,494 ","11,547 ","11,351 ","10,067 ",832 ,"2,040 ","2,800 ","3,782 ","1,673 ","2,614 ","2,388 ","6,210 ","1,742 ","2,686 ","3,208 "
