"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區,
2020/2/1,"3,050 ","8,110 ","21,446 ","41,409 ","14,343 ","8,174 ","7,220 ","3,330 ","2,244 ","7,530 ","1,375 ","2,925 ","8,047 ","5,167 ","8,813 ","4,924 ","6,131 ","3,392 ","7,253 ","3,207 ","4,803 ","6,524 ","2,227 ","28,143 ","3,293 ","11,018 ","9,097 ","12,066 ","19,387 ","12,632 ","7,717 ","29,035 ","15,035 ","22,579 ","18,943 ","3,704 ","28,516 ","19,672 ","20,432 ","15,929 ","9,790 ","133,487 ","40,670 ","17,553 ","15,154 ","35,599 ","25,944 ","22,419 ","17,607 ","7,919 ","20,600 ","5,392 ","5,009 ","15,573 ","8,152 ","3,237 ","1,815 ","8,277 ","7,428 ","9,096 ","30,440 ","5,977 ","10,932 ","5,644 ","15,833 ","14,654 ","24,620 ","32,479 ","27,156 ","18,766 ","27,609 ","72,785 ","12,221 ","29,037 ","31,007 ","17,369 ","49,933 ","13,844 ","13,397 ","7,862 ","14,324 ","9,652 ","22,487 ","12,682 ","7,241 ","10,505 ","18,016 ","15,989 ","13,396 ","17,749 ","6,151 ","8,425 ","6,448 ","2,312 ","5,894 ","7,333 ","8,992 ","9,395 ","12,108 ","19,568 ","19,608 ","9,741 ","9,250 ","9,862 ","9,089 ","9,468 ","6,886 ","7,049 ","1,573 ","3,224 ","3,957 ","7,067 ","1,674 ","1,718 ","2,851 ","12,191 ","4,216 ","5,933 ","6,116 ",
2020/2/2,"3,310 ","6,824 ","17,061 ","32,997 ","11,678 ","6,984 ","6,316 ","3,101 ","2,028 ","6,151 ","1,280 ","2,534 ","8,100 ","4,712 ","7,993 ","4,467 ","5,576 ","3,073 ","6,494 ","3,607 ","4,360 ","7,058 ","1,940 ","22,591 ","3,115 ","11,179 ","8,156 ","10,603 ","18,041 ","11,893 ","7,210 ","26,334 ","13,516 ","18,290 ","18,177 ","3,763 ","25,232 ","17,572 ","18,269 ","14,497 ","8,291 ","121,633 ","33,478 ","12,597 ","14,574 ","30,087 ","23,320 ","19,827 ","15,714 ","6,715 ","17,799 ","5,076 ","4,337 ","15,238 ","6,996 ","3,124 ","1,791 ","8,381 ","6,702 ","8,483 ","31,025 ","5,783 ","9,704 ","5,092 ","14,005 ","11,977 ","21,113 ","29,037 ","23,620 ","16,543 ","25,244 ","61,437 ","10,462 ","23,857 ","23,589 ","14,375 ","41,850 ","12,304 ","12,275 ","7,588 ","12,671 ","9,100 ","18,791 ","9,853 ","7,251 ","9,069 ","14,434 ","11,071 ","11,307 ","14,699 ","5,681 ","7,160 ","5,743 ","1,906 ","5,377 ","6,364 ","7,691 ","7,953 ","10,294 ","16,811 ","17,512 ","8,519 ","7,811 ","8,344 ","7,636 ","8,522 ","6,261 ","6,398 ","1,578 ","3,339 ","3,869 ","6,706 ","1,407 ","1,642 ","2,694 ","11,982 ","4,212 ","5,805 ","6,332 ",
2020/2/3,"4,633 ","13,921 ","41,916 ","40,455 ","21,663 ","12,255 ","10,909 ","3,873 ","3,085 ","12,172 ","2,082 ","3,508 ","5,422 ","7,340 ","9,898 ","17,279 ","15,961 ","4,189 ","8,334 ","3,077 ","7,578 ","8,194 ","5,302 ","33,956 ","2,924 ","10,381 ","11,717 ","15,646 ","24,861 ","14,643 ","9,333 ","23,413 ","15,790 ","31,490 ","23,664 ","8,116 ","34,919 ","25,344 ","26,130 ","19,366 ","24,820 ","129,773 ","37,499 ","22,351 ","21,468 ","23,593 ","23,681 ","23,450 ","21,903 ","11,144 ","29,509 ","6,469 ","7,301 ","17,689 ","4,975 ","3,653 ","3,396 ","11,600 ","9,010 ","10,413 ","28,191 ","9,377 ","13,166 ","7,035 ","20,718 ","22,030 ","26,975 ","38,155 ","36,085 ","24,864 ","26,722 ","62,857 ","18,140 ","30,341 ","33,818 ","21,820 ","59,643 ","18,037 ","15,903 ","14,326 ","17,212 ","13,036 ","27,133 ","18,463 ","6,902 ","12,274 ","40,252 ","21,716 ","23,291 ","23,894 ","8,523 ","10,311 ","6,412 ","4,933 ","6,059 ","9,171 ","9,516 ","10,316 ","15,814 ","29,160 ","22,357 ","12,517 ","11,319 ","11,948 ","11,556 ","11,375 ","8,919 ","8,800 ","1,030 ","2,802 ","3,826 ","5,469 ","1,500 ","2,412 ","2,585 ","8,915 ","3,362 ","4,331 ","4,781 ",
2020/2/4,"4,574 ","14,483 ","42,935 ","41,061 ","22,105 ","12,799 ","11,218 ","3,860 ","2,982 ","12,165 ","2,057 ","3,441 ","5,036 ","7,399 ","9,975 ","17,913 ","16,030 ","4,213 ","8,452 ","2,783 ","7,540 ","7,808 ","5,654 ","31,461 ","3,050 ","9,556 ","11,632 ","15,672 ","24,331 ","14,666 ","9,330 ","22,843 ","15,932 ","31,801 ","24,068 ","8,373 ","35,477 ","25,773 ","26,310 ","19,577 ","24,921 ","124,423 ","38,470 ","22,728 ","21,332 ","23,506 ","22,399 ","23,606 ","21,919 ","11,203 ","28,334 ","6,412 ","7,597 ","17,052 ","5,043 ","3,586 ","3,418 ","11,195 ","8,858 ","9,774 ","24,588 ","8,962 ","12,660 ","6,993 ","20,455 ","22,303 ","26,823 ","38,601 ","36,045 ","25,145 ","25,307 ","62,239 ","19,248 ","30,695 ","35,039 ","22,202 ","60,042 ","18,772 ","15,342 ","14,395 ","16,934 ","12,311 ","26,901 ","19,327 ","6,696 ","12,346 ","40,921 ","22,721 ","23,996 ","23,524 ","8,373 ","10,226 ","6,049 ","5,025 ","6,003 ","9,470 ","9,693 ","10,653 ","16,546 ","29,668 ","23,054 ","12,592 ","11,041 ","12,147 ","11,500 ","11,571 ","8,881 ","8,624 ","1,046 ","2,748 ","3,878 ","5,405 ","1,591 ","2,494 ","2,654 ","8,526 ","3,208 ","3,863 ","4,346 ",
2020/2/5,"4,614 ","14,398 ","43,626 ","41,726 ","22,306 ","12,890 ","11,193 ","3,774 ","3,056 ","11,960 ","1,988 ","3,492 ","4,579 ","7,394 ","9,940 ","18,061 ","16,203 ","4,255 ","8,658 ","2,864 ","7,577 ","7,942 ","5,676 ","26,910 ","3,023 ","9,669 ","11,733 ","15,797 ","24,331 ","14,596 ","9,277 ","22,795 ","16,274 ","32,776 ","23,709 ","8,605 ","34,971 ","25,669 ","26,273 ","19,444 ","24,339 ","124,379 ","39,646 ","22,471 ","21,345 ","23,126 ","23,172 ","23,289 ","22,131 ","11,037 ","28,827 ","6,347 ","7,237 ","16,838 ","5,165 ","3,726 ","3,438 ","11,456 ","8,790 ","10,089 ","25,388 ","9,129 ","13,015 ","7,056 ","20,593 ","22,243 ","26,961 ","38,035 ","36,743 ","25,531 ","25,854 ","63,785 ","19,823 ","31,759 ","36,363 ","22,549 ","60,796 ","19,018 ","15,715 ","14,449 ","16,827 ","12,613 ","27,135 ","19,339 ","6,688 ","12,535 ","41,317 ","23,260 ","23,987 ","23,864 ","8,415 ","10,206 ","6,339 ","5,139 ","6,088 ","9,374 ","10,131 ","10,539 ","16,538 ","30,072 ","23,361 ","12,555 ","11,178 ","12,073 ","11,439 ","11,596 ","8,606 ","8,694 ","1,081 ","2,728 ","4,050 ","5,338 ","1,667 ","2,662 ","2,716 ","8,619 ","3,262 ","4,046 ","4,477 ",
2020/2/6,"4,509 ","14,355 ","43,096 ","43,078 ","23,255 ","12,539 ","11,171 ","3,785 ","2,938 ","11,925 ","2,081 ","3,664 ","6,497 ","7,321 ","9,839 ","17,828 ","16,152 ","4,332 ","8,581 ","3,125 ","7,531 ","8,383 ","5,378 ","27,231 ","3,094 ","10,307 ","11,722 ","15,465 ","24,599 ","14,596 ","9,184 ","23,652 ","16,239 ","31,815 ","24,971 ","8,298 ","35,179 ","25,770 ","26,348 ","19,563 ","24,346 ","128,125 ","40,907 ","22,684 ","21,756 ","24,375 ","25,222 ","24,645 ","22,376 ","10,839 ","29,175 ","6,381 ","7,300 ","17,507 ","5,394 ","3,645 ","3,440 ","11,908 ","9,239 ","10,483 ","28,909 ","9,100 ","12,734 ","7,113 ","20,720 ","21,672 ","27,480 ","38,574 ","36,558 ","25,173 ","26,415 ","65,953 ","19,312 ","31,546 ","36,125 ","22,628 ","61,243 ","18,439 ","15,560 ","14,582 ","17,159 ","13,335 ","28,537 ","19,185 ","7,287 ","12,441 ","40,594 ","22,779 ","23,723 ","23,702 ","8,502 ","10,586 ","6,428 ","4,937 ","6,614 ","9,103 ","9,707 ","10,835 ","16,289 ","30,003 ","23,563 ","12,582 ","11,141 ","12,177 ","11,429 ","11,423 ","8,890 ","8,636 ","1,090 ","2,730 ","3,899 ","5,288 ","1,609 ","2,601 ","2,586 ","8,786 ","3,279 ","4,179 ","4,700 ",
2020/2/7,"4,720 ","14,498 ","44,532 ","46,739 ","23,441 ","13,036 ","11,460 ","3,881 ","2,817 ","12,071 ","2,019 ","3,651 ","6,082 ","7,303 ","10,505 ","17,790 ","16,080 ","4,430 ","8,759 ","2,885 ","7,325 ","8,230 ","5,626 ","27,383 ","3,116 ","9,925 ","12,062 ","15,791 ","24,593 ","15,016 ","9,732 ","24,813 ","17,266 ","32,826 ","24,947 ","8,335 ","35,956 ","26,131 ","26,641 ","19,726 ","24,056 ","148,531 ","44,392 ","23,053 ","21,688 ","24,451 ","24,600 ","23,960 ","22,651 ","10,860 ","28,698 ","6,539 ","7,313 ","17,329 ","5,096 ","3,420 ","3,423 ","11,312 ","9,143 ","10,089 ","25,641 ","9,306 ","13,055 ","7,320 ","20,830 ","21,533 ","27,851 ","41,610 ","37,099 ","25,670 ","26,115 ","69,193 ","20,253 ","33,059 ","39,089 ","24,043 ","67,217 ","19,456 ","15,626 ","14,700 ","19,069 ","12,920 ","28,752 ","20,563 ","6,947 ","13,094 ","42,352 ","23,402 ","24,764 ","24,171 ","8,569 ","10,600 ","6,364 ","5,201 ","7,264 ","9,261 ","9,960 ","10,869 ","17,374 ","30,199 ","24,970 ","12,568 ","11,295 ","12,212 ","11,639 ","11,468 ","8,995 ","8,747 ",978 ,"2,847 ","3,923 ","5,406 ","1,774 ","2,715 ","2,671 ","9,769 ","3,269 ","4,163 ","4,501 ",
2020/2/8,"2,700 ","7,658 ","20,735 ","37,287 ","14,287 ","8,106 ","7,096 ","3,074 ","2,018 ","7,005 ","1,231 ","2,748 ","7,124 ","5,252 ","7,610 ","4,639 ","5,591 ","3,179 ","8,019 ","2,440 ","4,497 ","6,580 ","1,960 ","14,410 ","2,674 ","8,675 ","8,115 ","10,795 ","16,257 ","11,410 ","7,005 ","24,992 ","13,598 ","22,447 ","16,648 ","3,639 ","26,111 ","17,495 ","18,255 ","14,349 ","9,588 ","117,875 ","36,955 ","16,494 ","14,279 ","17,687 ","20,925 ","19,131 ","15,983 ","7,069 ","18,665 ","4,940 ","4,520 ","13,277 ","5,139 ","2,573 ","1,514 ","7,097 ","6,746 ","7,242 ","23,007 ","5,598 ","9,024 ","5,096 ","14,479 ","13,243 ","22,388 ","30,010 ","24,740 ","17,531 ","23,892 ","67,376 ","11,695 ","25,278 ","28,485 ","16,241 ","43,072 ","12,928 ","11,852 ","7,502 ","14,034 ","8,040 ","19,160 ","11,878 ","6,532 ","10,406 ","17,318 ","15,803 ","12,982 ","15,282 ","5,832 ","7,478 ","4,964 ","2,069 ","7,966 ","6,695 ","8,078 ","8,494 ","11,441 ","17,715 ","17,970 ","8,545 ","8,034 ","8,485 ","8,035 ","8,552 ","6,311 ","6,458 ",918 ,"2,755 ","3,340 ","5,453 ","1,297 ","1,279 ","2,153 ","9,418 ","3,359 ","3,976 ","3,743 ",
2020/2/9,"2,916 ","6,407 ","16,378 ","29,699 ","11,242 ","7,067 ","5,854 ","2,794 ","1,885 ","5,860 ","1,201 ","2,164 ","5,333 ","4,641 ","7,343 ","3,973 ","4,936 ","2,803 ","5,798 ","2,430 ","3,739 ","6,243 ","1,796 ","11,505 ","2,786 ","8,489 ","7,416 ","9,625 ","14,372 ","11,006 ","6,419 ","21,835 ","11,590 ","18,138 ","14,895 ","3,212 ","23,341 ","15,926 ","16,336 ","12,892 ","7,917 ","107,928 ","31,937 ","11,958 ","13,952 ","17,383 ","19,522 ","17,089 ","14,391 ","6,015 ","16,408 ","4,323 ","3,916 ","13,266 ","5,449 ","2,437 ","1,372 ","6,414 ","5,942 ","6,949 ","22,710 ","5,130 ","8,086 ","4,411 ","12,553 ","11,219 ","18,649 ","26,834 ","21,650 ","14,996 ","20,185 ","57,160 ","10,081 ","20,761 ","22,210 ","13,101 ","37,027 ","11,279 ","10,316 ","6,964 ","12,343 ","7,129 ","16,178 ","9,267 ","6,187 ","8,555 ","13,694 ","10,807 ","10,813 ","12,592 ","5,423 ","6,440 ","5,072 ","1,865 ","7,398 ","5,730 ","6,949 ","7,450 ","10,123 ","14,727 ","15,511 ","7,490 ","6,897 ","7,777 ","6,962 ","7,507 ","5,607 ","5,608 ",950 ,"2,631 ","3,218 ","5,455 ","1,461 ","1,265 ","2,155 ","9,699 ","3,193 ","4,112 ","4,376 ",
2020/2/10,"4,376 ","13,417 ","41,115 ","38,408 ","20,786 ","12,004 ","10,593 ","3,717 ","2,898 ","11,677 ","1,986 ","3,489 ","4,588 ","6,911 ","9,077 ","17,270 ","15,560 ","4,159 ","8,076 ","3,008 ","7,137 ","7,684 ","5,164 ","25,278 ","2,870 ","9,555 ","11,372 ","15,016 ","23,041 ","13,778 ","8,748 ","23,760 ","15,230 ","30,208 ","23,058 ","8,164 ","33,586 ","24,275 ","25,246 ","18,925 ","23,621 ","119,969 ","36,675 ","21,479 ","21,323 ","22,328 ","22,926 ","22,423 ","21,008 ","10,734 ","28,248 ","5,968 ","7,006 ","16,489 ","4,556 ","3,373 ","3,373 ","10,814 ","8,789 ","10,015 ","26,558 ","9,190 ","12,246 ","6,873 ","19,987 ","21,212 ","25,828 ","36,682 ","34,735 ","24,161 ","24,763 ","59,544 ","17,094 ","28,419 ","32,977 ","20,584 ","56,362 ","17,447 ","14,891 ","14,503 ","16,919 ","13,084 ","25,616 ","17,664 ","6,678 ","12,458 ","38,945 ","21,596 ","22,388 ","22,636 ","8,519 ","9,931 ","6,061 ","4,842 ","7,348 ","8,877 ","9,316 ","10,285 ","15,749 ","28,366 ","21,683 ","12,029 ","10,966 ","11,489 ","11,005 ","11,084 ","8,494 ","8,500 ",932 ,"2,469 ","3,640 ","5,058 ","1,776 ","2,480 ","2,510 ","8,409 ","3,109 ","3,839 ","4,292 ",
