"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2021/11/1,"3,323 ","11,780 ","34,439 ","30,760 ","21,328 ","12,158 ","9,702 ","3,288 ","2,926 ","12,656 ","1,822 ","4,212 ","3,951 ","9,081 ","8,740 ","16,108 ","15,812 ","5,129 ","7,926 ","2,781 ","8,035 ","7,857 ","5,305 ","23,667 ","2,913 ","9,702 ","11,409 ","13,663 ","20,585 ","14,797 ","8,398 ","21,586 ","13,230 ","26,468 ","20,531 ","8,867 ","30,797 ","22,531 ","22,372 ","17,727 ","20,257 ","88,239 ","30,635 ","17,011 ","19,501 ","25,717 ","22,736 ","23,119 ","19,417 ","11,513 ","27,553 ","6,022 ","7,062 ","17,138 ","3,509 ","3,284 ","3,082 ","13,475 ","8,732 ","10,908 ","28,228 ","8,033 ","11,314 ","6,893 ","20,261 ","21,577 ","21,807 ","31,400 ","33,547 ","22,885 ","19,601 ","41,565 ","18,870 ","25,803 ","25,047 ","15,776 ","50,202 ","17,143 ","13,363 ","12,551 ","16,321 ","11,492 ","23,571 ","15,926 ","6,011 ","9,185 ","31,833 ","18,532 ","20,634 ","19,122 ","14,086 ","10,074 ","5,211 ","4,532 ","5,983 ","9,450 ","8,342 ","10,156 ","13,693 ","23,634 ","17,583 ","12,164 ","11,225 ","11,241 ","10,973 ","10,379 ","10,416 ","8,603 ","1,278 ","2,174 ","3,507 ","4,293 ","2,053 ","3,154 ","2,558 ","6,438 ","2,135 ","3,376 ","4,110 "
2021/11/2,"3,168 ","12,269 ","36,184 ","32,924 ","22,218 ","12,584 ","9,861 ","3,936 ","2,812 ","12,777 ","1,813 ","4,136 ","3,750 ","9,119 ","9,226 ","16,904 ","15,935 ","5,196 ","8,256 ","2,864 ","8,010 ","7,914 ","5,515 ","24,631 ","2,895 ","9,860 ","11,826 ","14,054 ","20,933 ","15,095 ","8,658 ","21,950 ","13,494 ","27,782 ","21,340 ","9,342 ","31,372 ","23,012 ","23,025 ","18,229 ","20,904 ","89,288 ","32,203 ","17,767 ","19,936 ","25,061 ","23,382 ","24,314 ","19,987 ","11,533 ","27,612 ","6,175 ","7,297 ","17,440 ","4,175 ","3,313 ","3,070 ","13,682 ","8,999 ","11,157 ","27,584 ","8,156 ","11,517 ","6,996 ","20,691 ","22,062 ","22,730 ","32,020 ","34,564 ","23,480 ","19,915 ","43,331 ","20,039 ","26,568 ","25,866 ","16,600 ","51,503 ","18,037 ","13,543 ","12,844 ","16,857 ","11,833 ","21,822 ","16,628 ","6,259 ","9,539 ","33,190 ","19,086 ","21,065 ","19,709 ","14,139 ","10,237 ","5,365 ","4,592 ","6,010 ","9,796 ","8,446 ","10,338 ","14,155 ","24,193 ","18,909 ","12,384 ","11,473 ","11,488 ","11,162 ","10,590 ","10,607 ","8,748 ","1,289 ","2,284 ","3,638 ","4,187 ","2,079 ","3,253 ","2,691 ","6,321 ","2,213 ","3,460 ","4,113 "
2021/11/3,"3,248 ","12,645 ","36,293 ","33,662 ","22,487 ","12,657 ","10,107 ","3,593 ","2,972 ","13,263 ","1,860 ","4,252 ","3,757 ","9,231 ","9,477 ","16,676 ","15,237 ","5,215 ","8,344 ","2,908 ","7,911 ","7,998 ","5,481 ","24,954 ","2,867 ","10,303 ","11,951 ","14,205 ","21,189 ","15,375 ","8,774 ","21,944 ","13,969 ","28,521 ","21,777 ","9,135 ","31,783 ","23,161 ","23,166 ","18,320 ","20,463 ","92,528 ","33,661 ","18,204 ","20,191 ","25,541 ","23,721 ","24,710 ","20,341 ","11,585 ","28,500 ","6,395 ","7,253 ","17,827 ","4,191 ","3,433 ","3,236 ","13,684 ","8,997 ","11,238 ","28,265 ","8,222 ","11,589 ","7,183 ","20,840 ","22,217 ","23,081 ","33,316 ","35,397 ","23,716 ","20,460 ","44,950 ","20,740 ","26,993 ","27,007 ","17,247 ","53,362 ","18,109 ","13,912 ","12,858 ","17,431 ","12,067 ","22,119 ","16,902 ","6,685 ","9,813 ","33,779 ","19,441 ","21,285 ","19,749 ","13,941 ","10,319 ","5,581 ","4,551 ","6,190 ","9,853 ","8,602 ","10,513 ","14,346 ","25,061 ","19,172 ","12,494 ","11,495 ","11,605 ","11,262 ","10,768 ","10,639 ","8,800 ","1,296 ","2,274 ","3,551 ","4,269 ","2,080 ","3,194 ","2,701 ","6,627 ","2,276 ","3,538 ","4,106 "
2021/11/4,"3,307 ","12,711 ","37,029 ","35,286 ","22,656 ","12,968 ","10,045 ","3,412 ","3,021 ","13,206 ","1,843 ","4,233 ","3,959 ","9,205 ","9,346 ","16,920 ","15,882 ","5,360 ","8,426 ","2,966 ","8,047 ","7,965 ","5,578 ","29,904 ","2,969 ","10,075 ","11,868 ","14,106 ","21,148 ","15,284 ","8,586 ","22,279 ","14,045 ","28,372 ","22,291 ","9,147 ","31,819 ","23,265 ","23,130 ","18,289 ","20,073 ","97,054 ","33,959 ","18,118 ","20,332 ","23,091 ","23,785 ","24,651 ","20,569 ","11,648 ","27,744 ","6,390 ","7,371 ","17,704 ","4,428 ","3,382 ","3,141 ","13,630 ","9,044 ","11,201 ","28,310 ","8,151 ","11,729 ","7,153 ","20,816 ","21,972 ","22,609 ","33,299 ","34,645 ","23,686 ","20,195 ","44,872 ","20,523 ","27,375 ","27,703 ","16,544 ","52,605 ","18,170 ","13,863 ","13,468 ","18,185 ","11,952 ","22,881 ","17,060 ","6,470 ","9,678 ","34,148 ","19,385 ","21,595 ","19,922 ","13,874 ","10,266 ","5,555 ","4,652 ","6,150 ","9,852 ","8,567 ","10,528 ","14,513 ","24,643 ","19,292 ","12,460 ","11,653 ","11,534 ","11,382 ","10,717 ","10,635 ","8,892 ","1,308 ","2,249 ","3,508 ","4,294 ","2,027 ","3,164 ","2,757 ","6,638 ","2,175 ","3,480 ","4,110 "
2021/11/5,"3,758 ","13,444 ","39,215 ","42,364 ","23,583 ","13,480 ","10,608 ","3,556 ","3,134 ","13,347 ","1,935 ","4,380 ","4,667 ","9,482 ","11,155 ","16,864 ","16,151 ","5,630 ","9,052 ","3,641 ","8,329 ","8,510 ","5,850 ","37,926 ","3,362 ","11,110 ","12,309 ","15,292 ","22,596 ","16,461 ","9,434 ","24,812 ","15,147 ","29,725 ","23,011 ","9,300 ","33,671 ","24,624 ","23,915 ","18,886 ","20,518 ","134,757 ","42,005 ","19,490 ","21,371 ","26,319 ","26,037 ","26,728 ","22,626 ","11,901 ","29,636 ","7,114 ","7,801 ","19,421 ","4,696 ","3,656 ","3,218 ","13,668 ","9,549 ","12,141 ","32,025 ","8,694 ","13,103 ","7,607 ","21,917 ","22,455 ","25,236 ","38,476 ","36,935 ","24,897 ","22,556 ","56,895 ","21,935 ","30,538 ","33,434 ","20,375 ","62,686 ","19,644 ","15,566 ","13,755 ","23,423 ","13,073 ","25,884 ","18,844 ","7,548 ","10,694 ","36,119 ","20,313 ","22,583 ","22,097 ","13,672 ","11,084 ","5,867 ","4,755 ","6,621 ","10,130 ","9,231 ","11,470 ","15,665 ","26,705 ","21,200 ","13,131 ","12,048 ","12,155 ","11,764 ","11,234 ","10,866 ","9,320 ","1,342 ","2,472 ","3,676 ","4,593 ","2,183 ","3,270 ","2,878 ","8,605 ","2,306 ","3,844 ","4,439 "
2021/11/6,"2,323 ","8,041 ","19,610 ","40,023 ","14,190 ","8,075 ","6,731 ","3,193 ","2,291 ","7,848 ","1,448 ","3,518 ","6,916 ","5,414 ","10,291 ","4,842 ","6,279 ","4,465 ","7,354 ","3,353 ","5,023 ","5,556 ","2,117 ","28,032 ","3,400 ","10,164 ","8,976 ","10,987 ","14,902 ","13,296 ","7,524 ","20,815 ","11,823 ","21,913 ","15,359 ","3,716 ","25,541 ","17,882 ","16,920 ","14,640 ","8,038 ","114,259 ","41,460 ","14,388 ","13,879 ","21,230 ","23,278 ","21,608 ","17,045 ","7,762 ","19,482 ","7,944 ","4,675 ","14,257 ","5,583 ","2,798 ","1,469 ","8,386 ","7,259 ","9,628 ","31,275 ","5,464 ","9,099 ","5,382 ","15,357 ","13,651 ","22,212 ","32,942 ","25,545 ","18,544 ","19,349 ","62,249 ","13,867 ","26,316 ","28,733 ","15,513 ","52,444 ","13,299 ","12,483 ","8,038 ","18,960 ","8,338 ","20,833 ","11,392 ","9,410 ","8,158 ","16,515 ","10,598 ","12,521 ","13,594 ","7,382 ","8,159 ","4,647 ","2,106 ","6,082 ","6,620 ","8,134 ","9,018 ","10,566 ","15,801 ","17,058 ","9,061 ","8,638 ","8,863 ","8,307 ","8,433 ","6,844 ","6,769 ",738 ,"1,989 ","2,583 ","3,871 ","1,080 ","1,248 ","1,628 ","7,026 ","1,787 ","2,862 ","2,749 "
2021/11/7,"2,196 ","6,016 ","14,101 ","29,227 ","9,982 ","6,485 ","5,383 ","3,022 ","2,092 ","6,763 ","1,385 ","2,610 ","6,804 ","4,759 ","8,872 ","4,207 ","5,301 ","3,225 ","6,263 ","3,235 ","4,269 ","4,789 ","1,872 ","23,510 ","2,979 ","10,222 ","7,780 ","9,736 ","12,745 ","11,614 ","6,696 ","19,075 ","10,337 ","16,711 ","12,849 ","2,936 ","21,643 ","15,112 ","14,341 ","12,735 ","6,094 ","99,758 ","32,340 ","10,118 ","12,770 ","19,446 ","21,247 ","19,125 ","15,134 ","6,138 ","17,223 ","7,745 ","3,905 ","13,332 ","5,372 ","2,412 ","1,414 ","7,666 ","6,198 ","9,507 ","31,813 ","4,972 ","7,797 ","4,728 ","12,850 ","10,705 ","18,260 ","28,270 ","21,979 ","15,786 ","16,117 ","48,527 ","10,900 ","20,593 ","19,800 ","11,506 ","40,834 ","11,040 ","10,006 ","6,851 ","16,693 ","7,009 ","17,303 ","8,615 ","9,536 ","6,538 ","12,174 ","7,675 ","9,396 ","10,811 ","6,065 ","7,054 ","3,758 ","1,611 ","5,088 ","5,296 ","6,419 ","7,350 ","8,610 ","12,015 ","14,464 ","7,736 ","7,000 ","7,418 ","6,869 ","6,996 ","5,651 ","5,484 ",685 ,"1,836 ","2,567 ","3,408 ",831 ,"1,140 ","1,335 ","6,669 ","1,544 ","2,495 ","2,506 "
2021/11/8,"3,526 ","12,710 ","36,598 ","33,362 ","22,164 ","12,775 ","10,042 ","3,426 ","2,959 ","13,144 ","1,854 ","3,511 ","3,584 ","9,068 ","9,146 ","16,514 ","16,273 ","4,206 ","8,383 ","2,613 ","7,935 ","7,964 ","5,884 ","30,024 ","3,013 ","9,508 ","11,786 ","14,426 ","21,271 ","14,956 ","8,808 ","22,003 ","13,857 ","27,805 ","19,969 ","9,202 ","32,016 ","22,971 ","23,321 ","18,330 ","20,478 ","94,420 ","31,801 ","17,756 ","19,981 ","22,229 ","21,872 ","22,960 ","19,637 ","11,570 ","27,791 ","6,377 ","7,167 ","16,825 ","3,939 ","3,394 ","3,112 ","13,701 ","8,631 ","10,885 ","26,661 ","8,255 ","11,298 ","6,976 ","20,645 ","21,925 ","22,257 ","33,943 ","34,462 ","23,433 ","19,553 ","44,525 ","20,340 ","26,603 ","26,435 ","16,079 ","51,675 ","18,144 ","13,951 ","13,011 ","17,618 ","11,527 ","21,815 ","17,003 ","6,045 ","9,273 ","33,787 ","19,803 ","21,113 ","19,655 ","14,045 ","10,311 ","5,217 ","4,602 ","6,056 ","9,841 ","8,708 ","10,542 ","14,647 ","24,945 ","18,340 ","12,391 ","11,330 ","11,759 ","11,493 ","10,803 ","10,418 ","8,852 ","1,356 ","2,391 ","3,745 ","4,444 ","2,317 ","3,358 ","2,788 ","6,775 ","2,232 ","3,559 ","4,316 "
2021/11/9,"3,364 ","12,674 ","36,723 ","34,300 ","22,677 ","12,693 ","10,090 ","3,463 ","3,040 ","13,351 ","1,945 ","4,355 ","3,947 ","9,329 ","9,435 ","16,820 ","16,515 ","5,293 ","8,387 ","2,824 ","8,053 ","8,230 ","5,617 ","24,759 ","2,956 ","10,139 ","11,943 ","14,275 ","21,248 ","15,602 ","8,985 ","22,052 ","13,950 ","28,329 ","21,667 ","9,163 ","31,963 ","23,746 ","23,240 ","18,737 ","21,072 ","94,947 ","33,275 ","18,138 ","20,309 ","23,948 ","23,554 ","24,670 ","20,561 ","11,663 ","28,665 ","7,904 ","7,404 ","17,953 ","4,553 ","3,526 ","3,169 ","13,851 ","9,025 ","11,157 ","28,219 ","8,148 ","11,436 ","7,074 ","21,178 ","22,417 ","23,048 ","33,531 ","35,329 ","23,714 ","20,533 ","44,658 ","20,726 ","26,472 ","27,371 ","16,668 ","51,936 ","18,226 ","13,818 ","13,305 ","17,181 ","12,001 ","22,920 ","17,043 ","6,598 ","9,868 ","34,047 ","20,030 ","21,698 ","20,096 ","14,006 ","10,328 ","5,375 ","4,597 ","6,147 ","10,015 ","8,695 ","10,518 ","14,752 ","24,890 ","19,277 ","12,573 ","11,757 ","11,883 ","11,452 ","10,777 ","10,745 ","8,933 ","1,403 ","2,304 ","3,696 ","4,391 ","2,201 ","3,172 ","2,764 ","6,714 ","2,210 ","3,440 ","4,141 "
2021/11/10,"3,251 ","12,961 ","37,449 ","36,302 ","22,755 ","12,695 ","10,256 ","3,507 ","3,029 ","13,560 ","1,957 ","4,349 ","4,095 ","9,321 ","9,819 ","16,812 ","16,555 ","5,285 ","8,609 ","2,951 ","8,436 ","8,224 ","5,637 ","25,295 ","3,021 ","10,456 ","12,196 ","14,714 ","21,489 ","15,813 ","8,843 ","22,149 ","14,593 ","29,160 ","21,903 ","9,323 ","32,503 ","23,641 ","23,678 ","18,418 ","21,058 ","97,820 ","35,389 ","18,568 ","20,419 ","24,032 ","23,988 ","24,934 ","21,057 ","11,850 ","29,153 ","8,565 ","7,578 ","17,969 ","4,732 ","3,518 ","3,267 ","14,047 ","9,088 ","11,323 ","28,736 ","8,296 ","11,752 ","7,359 ","21,238 ","22,412 ","23,659 ","33,972 ","35,788 ","24,216 ","21,036 ","47,721 ","21,582 ","27,200 ","28,529 ","17,411 ","53,376 ","18,470 ","14,155 ","13,386 ","17,705 ","12,180 ","22,499 ","17,444 ","6,613 ","9,982 ","34,497 ","20,487 ","22,274 ","20,649 ","13,727 ","10,463 ","5,487 ","4,656 ","6,294 ","9,958 ","8,779 ","10,696 ","14,555 ","25,367 ","19,647 ","12,689 ","11,751 ","12,009 ","11,424 ","11,044 ","10,755 ","9,038 ","1,372 ","2,372 ","3,614 ","4,422 ","2,205 ","3,268 ","2,727 ","6,855 ","2,285 ","3,555 ","4,293 "
