"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區,
2020/10/1,"3,642 ","6,689 ","15,254 ","32,494 ","9,951 ","6,243 ","5,789 ","3,220 ","1,778 ","5,878 ","1,404 ","2,625 ","8,461 ","4,267 ","8,715 ","3,885 ","4,732 ","2,934 ","6,118 ","3,208 ","3,885 ","4,647 ","1,980 ","12,786 ","4,392 ","14,312 ","8,135 ","10,465 ","12,923 ","10,935 ","6,689 ","16,676 ","9,466 ","16,026 ","11,386 ","2,966 ","23,007 ","16,035 ","16,120 ","13,498 ","6,563 ","136,196 ","39,353 ","11,572 ","11,214 ","18,727 ","19,601 ","17,312 ","15,950 ","6,705 ","16,983 ","4,957 ","4,458 ","12,612 ","4,988 ","2,591 ","1,444 ","6,993 ","6,839 ","9,632 ","33,959 ","5,486 ","9,618 ","4,873 ","13,807 ","11,392 ","18,992 ","33,020 ","22,392 ","15,631 ","23,380 ","50,752 ","8,592 ","18,565 ","22,277 ","11,357 ","46,254 ","11,223 ","10,896 ","6,937 ","20,105 ","7,857 ","17,094 ","9,314 ","5,114 ","9,837 ","13,106 ","8,592 ","10,684 ","13,778 ","5,243 ","6,997 ","3,561 ","1,922 ","5,539 ","5,732 ","6,938 ","8,322 ","9,509 ","14,316 ","14,108 ","8,685 ","7,372 ","8,161 ","7,633 ","8,289 ","6,396 ","5,754 ",567 ,"1,929 ","2,454 ","3,774 ",990 ,919 ,"1,519 ","8,686 ","1,606 ","2,661 ","2,793 ",
2020/10/2,"2,998 ","7,054 ","17,217 ","36,729 ","11,694 ","6,749 ","6,254 ","3,272 ","1,935 ","7,415 ","1,507 ","3,353 ","13,810 ","4,695 ","8,996 ","4,280 ","4,853 ","3,103 ","6,722 ","3,658 ","4,472 ","4,836 ","2,093 ","13,503 ","4,784 ","15,452 ","8,891 ","11,291 ","14,260 ","11,802 ","6,877 ","18,685 ","11,083 ","17,621 ","14,104 ","3,376 ","25,583 ","17,877 ","17,274 ","14,799 ","14,251 ","123,750 ","41,949 ","16,104 ","12,849 ","20,259 ","25,001 ","21,927 ","16,665 ","8,290 ","18,743 ","5,319 ","5,478 ","13,927 ","7,024 ","2,472 ","2,134 ","7,979 ","7,619 ","11,489 ","43,258 ","5,579 ","9,844 ","5,387 ","15,031 ","14,394 ","22,077 ","32,466 ","23,994 ","16,854 ","23,134 ","57,736 ","9,262 ","21,049 ","25,697 ","12,781 ","47,951 ","11,485 ","11,595 ","7,521 ","14,530 ","9,442 ","23,147 ","10,966 ","7,062 ","8,867 ","13,982 ","9,994 ","11,373 ","14,910 ","5,834 ","8,387 ","4,053 ","1,960 ","6,067 ","6,118 ","7,823 ","8,846 ","10,188 ","15,089 ","15,286 ","9,335 ","8,367 ","9,228 ","8,252 ","8,312 ","6,639 ","6,289 ",580 ,"2,023 ","2,544 ","3,980 ","1,094 ",966 ,"1,630 ","7,322 ","1,817 ","2,841 ","3,179 ",
2020/10/3,"2,589 ","7,755 ","18,309 ","39,013 ","12,899 ","7,452 ","6,677 ","3,426 ","2,200 ","7,351 ","1,594 ","3,458 ","11,847 ","5,221 ","9,534 ","4,580 ","5,406 ","3,507 ","7,667 ","3,614 ","4,883 ","5,924 ","2,521 ","16,398 ","4,787 ","15,686 ","9,407 ","12,399 ","15,048 ","12,587 ","7,690 ","20,644 ","11,837 ","19,752 ","15,109 ","3,636 ","27,330 ","18,853 ","18,020 ","15,679 ","8,870 ","120,116 ","42,010 ","14,734 ","13,575 ","22,911 ","24,598 ","21,895 ","17,735 ","8,063 ","19,611 ","5,344 ","5,056 ","14,540 ","6,378 ","2,887 ","1,657 ","8,183 ","7,627 ","11,435 ","41,928 ","6,113 ","10,394 ","5,654 ","16,492 ","13,875 ","23,164 ","32,620 ","26,606 ","18,433 ","23,451 ","59,268 ","11,462 ","23,990 ","29,643 ","14,884 ","51,178 ","13,736 ","14,047 ","22,143 ","44,535 ","9,242 ","22,917 ","11,470 ","8,973 ","9,046 ","14,619 ","10,225 ","12,405 ","14,951 ","6,579 ","8,618 ","4,169 ","1,983 ","6,280 ","6,353 ","8,111 ","9,183 ","11,108 ","15,282 ","16,386 ","10,045 ","8,896 ","9,265 ","8,666 ","9,167 ","6,888 ","6,697 ",627 ,"2,298 ","2,899 ","4,214 ",991 ,"1,048 ","1,660 ","6,648 ","1,616 ","3,016 ","3,096 ",
2020/10/4,"3,377 ","6,729 ","15,610 ","30,997 ","10,754 ","7,263 ","6,243 ","3,467 ","2,093 ","7,303 ","1,386 ","2,738 ","7,005 ","5,391 ","9,170 ","4,481 ","5,755 ","3,549 ","6,711 ","3,626 ","4,898 ","4,963 ","2,088 ","12,981 ","4,036 ","12,550 ","8,650 ","11,658 ","14,507 ","13,134 ","7,869 ","24,024 ","12,709 ","18,919 ","16,877 ","3,410 ","25,638 ","17,988 ","16,766 ","14,520 ","7,578 ","118,122 ","35,674 ","11,357 ","13,830 ","20,571 ","23,066 ","19,953 ","16,083 ","7,310 ","19,147 ","5,171 ","4,377 ","13,992 ","4,477 ","2,450 ","1,506 ","7,992 ","6,687 ","10,090 ","35,809 ","5,505 ","8,794 ","5,225 ","14,433 ","11,910 ","20,037 ","31,427 ","24,216 ","16,770 ","20,317 ","48,647 ","10,089 ","21,382 ","21,963 ","12,069 ","42,942 ","13,009 ","11,439 ","7,783 ","13,751 ","7,733 ","18,919 ","10,066 ","8,413 ","7,515 ","12,867 ","9,191 ","11,135 ","12,184 ","8,699 ","7,144 ","4,197 ","1,967 ","8,282 ","5,987 ","7,114 ","8,142 ","9,971 ","14,932 ","15,938 ","8,548 ","7,393 ","8,423 ","7,723 ","8,455 ","6,291 ","6,223 ",650 ,"2,245 ","2,796 ","3,956 ",986 ,950 ,"1,502 ","7,182 ","1,755 ","2,987 ","3,235 ",
2020/10/5,"4,782 ","14,497 ","42,137 ","38,118 ","26,151 ","15,273 ","11,988 ","4,041 ","3,296 ","15,125 ","2,083 ","4,710 ","4,917 ","10,778 ","9,725 ","19,369 ","17,845 ","5,897 ","9,435 ","2,980 ","9,330 ","8,628 ","5,905 ","27,648 ","3,506 ","10,832 ","12,801 ","17,213 ","24,595 ","17,896 ","10,224 ","28,729 ","17,307 ","33,814 ","24,194 ","11,862 ","37,299 ","26,609 ","26,380 ","20,614 ","25,569 ","115,034 ","37,518 ","21,346 ","23,014 ","24,899 ","26,428 ","26,413 ","22,278 ","13,186 ","32,737 ","6,708 ","7,826 ","18,875 ","4,166 ","3,636 ","2,761 ","11,890 ","9,546 ","11,549 ","31,215 ","8,974 ","13,010 ","7,846 ","22,666 ","23,935 ","25,947 ","39,097 ","39,804 ","26,188 ","24,660 ","49,808 ","22,232 ","30,415 ","31,704 ","19,885 ","59,580 ","20,960 ","16,449 ","15,577 ","18,763 ","12,882 ","26,768 ","19,008 ","7,107 ","10,686 ","37,966 ","22,633 ","24,700 ","22,256 ","16,401 ","11,228 ","5,356 ","5,092 ","6,438 ","10,601 ","9,615 ","11,581 ","16,947 ","28,463 ","22,207 ","13,873 ","12,685 ","13,114 ","12,449 ","11,979 ","11,377 ","9,580 ","1,153 ","2,477 ","3,775 ","4,372 ","1,851 ","2,866 ","2,717 ","7,084 ","2,262 ","3,474 ","3,972 ",
2020/10/6,"4,316 ","15,051 ","43,326 ","39,965 ","26,476 ","15,408 ","11,806 ","3,904 ","3,197 ","15,242 ","2,180 ","4,781 ","4,850 ","10,825 ","10,002 ","19,569 ","18,083 ","5,895 ","9,475 ","3,215 ","9,227 ","9,154 ","5,830 ","28,723 ","3,320 ","11,516 ","12,865 ","17,127 ","24,418 ","18,186 ","10,180 ","27,602 ","17,462 ","34,450 ","26,101 ","12,143 ","37,177 ","27,347 ","26,644 ","20,803 ","26,440 ","116,627 ","39,726 ","21,947 ","24,014 ","26,841 ","27,547 ","27,287 ","23,497 ","13,441 ","32,863 ","6,855 ","8,089 ","19,685 ","4,625 ","3,779 ","3,691 ","14,275 ","9,809 ","11,482 ","31,252 ","9,103 ","13,387 ","7,859 ","22,838 ","24,500 ","27,073 ","39,428 ","40,771 ","26,590 ","26,167 ","53,057 ","24,341 ","33,249 ","32,660 ","20,654 ","60,018 ","21,192 ","16,165 ","15,531 ","18,497 ","13,237 ","25,228 ","19,224 ","7,702 ","11,466 ","39,048 ","23,628 ","24,845 ","22,947 ","15,954 ","11,980 ","5,529 ","5,180 ","6,539 ","10,580 ","9,484 ","11,849 ","17,443 ","29,001 ","23,165 ","14,179 ","12,854 ","13,000 ","12,432 ","12,202 ","11,524 ","9,604 ","1,146 ","2,412 ","3,699 ","4,271 ","1,884 ","2,842 ","2,662 ","6,984 ","2,226 ","3,294 ","3,891 ",
2020/10/7,"4,664 ","14,898 ","44,162 ","41,270 ","26,951 ","15,326 ","11,995 ","3,867 ","3,325 ","15,235 ","2,225 ","4,811 ","5,098 ","11,094 ","10,605 ","19,439 ","17,983 ","6,063 ","9,512 ","3,280 ","9,189 ","8,735 ","5,677 ","28,866 ","3,381 ","11,638 ","12,986 ","16,889 ","24,568 ","17,906 ","10,213 ","27,953 ","17,772 ","34,881 ","25,770 ","12,264 ","37,611 ","27,223 ","26,642 ","21,198 ","26,480 ","121,121 ","41,084 ","22,557 ","23,953 ","26,717 ","27,672 ","27,688 ","23,706 ","13,205 ","33,737 ","6,791 ","7,976 ","20,382 ","4,700 ","3,713 ","3,590 ","14,493 ","10,069 ","11,598 ","31,722 ","9,087 ","13,497 ","7,993 ","22,828 ","24,455 ","27,674 ","39,413 ","40,923 ","27,017 ","26,049 ","54,712 ","24,523 ","31,122 ","33,953 ","21,383 ","60,789 ","21,061 ","16,382 ","15,877 ","19,124 ","13,456 ","26,000 ","19,747 ","7,994 ","11,295 ","39,453 ","23,991 ","25,177 ","23,230 ","16,077 ","12,599 ","5,810 ","5,266 ","6,634 ","10,643 ","9,690 ","12,103 ","17,579 ","29,728 ","23,611 ","14,364 ","12,933 ","13,077 ","12,568 ","12,174 ","11,500 ","9,666 ","1,146 ","2,375 ","3,651 ","4,255 ","1,904 ","2,966 ","2,652 ","7,113 ","2,298 ","3,469 ","3,940 ",
2020/10/8,"5,504 ","15,267 ","45,658 ","45,959 ","27,881 ","16,110 ","12,355 ","4,068 ","3,275 ","15,546 ","2,229 ","4,826 ","5,190 ","10,937 ","12,496 ","19,446 ","18,436 ","6,248 ","10,265 ","3,361 ","9,546 ","9,156 ","5,792 ","32,770 ","4,038 ","12,397 ","13,521 ","17,891 ","25,501 ","18,943 ","10,625 ","29,613 ","18,129 ","35,684 ","26,670 ","12,383 ","39,056 ","28,388 ","27,810 ","21,500 ","27,849 ","160,788 ","45,911 ","23,031 ","25,107 ","28,788 ","29,221 ","29,317 ","24,644 ","13,839 ","34,056 ","7,292 ","8,261 ","20,205 ","4,966 ","3,948 ","3,578 ","14,736 ","10,164 ","12,096 ","33,679 ","9,715 ","15,248 ","8,222 ","24,109 ","25,127 ","29,412 ","44,664 ","41,810 ","28,263 ","27,379 ","61,995 ","24,874 ","32,919 ","38,151 ","22,334 ","70,281 ","21,807 ","17,053 ","16,774 ","24,455 ","14,086 ","31,394 ","21,158 ","8,104 ","12,013 ","40,589 ","24,564 ","25,729 ","24,203 ","16,278 ","12,716 ","6,239 ","5,256 ","7,011 ","11,085 ","10,158 ","12,468 ","18,175 ","29,982 ","24,961 ","14,795 ","13,418 ","13,739 ","13,114 ","12,731 ","11,817 ","10,169 ","1,135 ","2,606 ","3,845 ","4,632 ","2,020 ","3,052 ","2,829 ","9,272 ","2,373 ","3,803 ","4,250 ",
2020/10/9,"3,741 ","8,230 ","21,252 ","42,659 ","14,403 ","8,302 ","7,456 ","3,229 ","2,001 ","8,666 ","1,581 ","2,865 ","8,003 ","5,638 ","11,222 ","4,934 ","5,901 ","3,580 ","7,416 ","2,787 ","4,902 ","5,524 ","2,854 ","21,824 ","4,617 ","12,026 ","9,231 ","12,447 ","15,365 ","13,012 ","7,955 ","23,708 ","13,781 ","22,108 ","16,425 ","4,120 ","28,937 ","19,784 ","19,151 ","15,898 ","11,218 ","147,151 ","49,187 ","15,164 ","15,283 ","22,610 ","23,802 ","22,736 ","17,759 ","9,190 ","20,612 ","5,507 ","5,020 ","14,465 ","6,782 ","2,564 ","2,264 ","8,053 ","7,410 ","10,106 ","32,049 ","6,115 ","10,841 ","6,164 ","16,907 ","16,031 ","29,032 ","41,801 ","28,418 ","19,828 ","24,689 ","69,519 ","12,484 ","29,553 ","32,959 ","16,698 ","56,932 ","13,898 ","13,248 ","8,200 ","18,220 ","8,908 ","27,741 ","13,415 ","6,392 ","10,387 ","18,052 ","12,887 ","13,534 ","15,881 ","7,477 ","7,989 ","4,560 ","2,178 ","5,760 ","7,219 ","9,272 ","9,589 ","12,587 ","17,726 ","18,092 ","10,204 ","8,402 ","9,638 ","8,906 ","9,274 ","6,968 ","6,878 ",769 ,"2,369 ","2,853 ","4,453 ","1,281 ","1,213 ","1,739 ","9,961 ","1,816 ","3,090 ","3,285 ",
2020/10/10,"2,768 ","8,289 ","20,207 ","41,368 ","13,798 ","8,128 ","6,937 ","3,409 ","2,192 ","7,165 ","1,491 ","3,029 ","11,372 ","5,792 ","12,610 ","4,488 ","5,793 ","3,451 ","7,631 ","3,129 ","4,801 ","5,567 ","2,671 ","26,719 ","4,856 ","12,603 ","9,286 ","12,386 ","15,298 ","13,652 ","7,992 ","24,105 ","13,208 ","20,504 ","20,534 ","3,959 ","28,641 ","19,659 ","18,175 ","16,005 ","15,972 ","138,493 ","47,961 ","15,015 ","15,120 ","25,997 ","26,143 ","24,096 ","17,933 ","7,530 ","20,281 ","5,501 ","5,091 ","14,999 ","6,914 ","2,765 ","1,661 ","8,098 ","7,501 ","10,882 ","39,883 ","6,083 ","10,324 ","5,706 ","16,342 ","13,435 ","25,225 ","37,893 ","26,982 ","19,000 ","25,496 ","72,859 ","12,209 ","29,078 ","30,486 ","17,758 ","60,559 ","13,961 ","12,872 ","7,859 ","17,163 ","9,743 ","28,277 ","11,930 ","9,257 ","10,280 ","16,417 ","12,228 ","12,557 ","15,514 ","7,161 ","8,114 ","4,830 ","3,149 ","6,440 ","6,791 ","9,215 ","9,877 ","11,563 ","16,593 ","18,605 ","9,805 ","8,678 ","9,551 ","8,716 ","9,598 ","7,269 ","6,900 ",665 ,"2,302 ","2,860 ","4,473 ","1,156 ","1,059 ","1,594 ","8,273 ","1,787 ","3,148 ","3,560 ",
