"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區,
2020/8/1,"3,802 ","9,547 ","22,261 ","47,526 ","17,069 ","9,689 ","8,123 ","3,800 ","2,680 ","8,105 ","1,973 ","3,231 ","10,082 ","6,135 ","9,954 ","5,562 ","7,109 ","4,343 ","8,604 ","3,503 ","5,825 ","6,197 ","2,891 ","38,946 ","4,159 ","11,635 ","9,493 ","13,906 ","17,998 ","15,448 ","9,436 ","26,341 ","15,936 ","26,764 ","17,042 ","4,338 ","30,433 ","21,144 ","21,924 ","17,289 ","11,262 ","153,802 ","42,577 ","16,947 ","17,309 ","25,024 ","27,003 ","23,478 ","18,696 ","9,329 ","21,792 ","6,473 ","6,103 ","14,215 ","4,695 ","2,774 ","1,716 ","7,759 ","7,599 ","8,496 ","33,503 ","6,466 ","10,810 ","6,523 ","17,637 ","16,988 ","29,620 ","35,818 ","31,600 ","20,864 ","26,459 ","67,842 ","14,380 ","30,481 ","30,318 ","16,924 ","59,714 ","15,600 ","14,917 ","8,787 ","19,489 ","10,655 ","40,891 ","13,521 ","9,416 ","10,027 ","17,928 ","15,105 ","14,157 ","17,155 ","6,955 ","8,063 ","4,637 ","2,381 ","7,225 ","7,883 ","8,964 ","12,119 ","12,916 ","19,109 ","21,067 ","11,656 ","9,592 ","10,293 ","9,718 ","9,825 ","7,636 ","8,232 ",485 ,"2,288 ","2,798 ","4,330 ","1,084 ","1,000 ","1,839 ","7,704 ","1,994 ","2,973 ","3,603 ",
2020/8/2,"3,872 ","7,276 ","16,552 ","35,569 ","12,047 ","7,842 ","5,961 ","3,106 ","1,933 ","5,751 ","1,472 ","2,365 ","5,601 ","4,924 ","8,765 ","4,106 ","5,477 ","3,046 ","6,566 ","2,864 ","4,423 ","4,835 ","2,559 ","30,580 ","3,915 ","10,494 ","7,502 ","11,042 ","14,219 ","12,433 ","7,462 ","21,312 ","12,624 ","20,320 ","14,298 ","3,399 ","24,285 ","17,033 ","16,834 ","13,737 ","9,357 ","141,443 ","33,929 ","11,989 ","15,024 ","21,325 ","20,530 ","19,300 ","15,240 ","7,006 ","16,076 ","4,881 ","4,970 ","12,072 ","4,141 ","2,623 ","1,529 ","6,213 ","6,337 ","7,164 ","28,599 ","5,729 ","9,123 ","5,120 ","13,923 ","12,800 ","23,627 ","31,064 ","25,403 ","16,958 ","21,854 ","55,357 ","10,892 ","23,752 ","23,092 ","12,898 ","48,358 ","12,699 ","11,631 ","7,147 ","17,200 ","8,052 ","33,215 ","9,525 ","7,672 ","8,067 ","13,363 ","11,424 ","10,837 ","13,124 ","5,517 ","6,299 ","3,901 ","1,883 ","5,973 ","6,196 ","7,037 ","10,160 ","10,107 ","14,483 ","16,505 ","9,307 ","7,664 ","8,156 ","7,924 ","7,900 ","6,439 ","6,461 ",390 ,"1,887 ","2,395 ","3,702 ",835 ,955 ,"1,511 ","7,828 ","1,689 ","2,347 ","3,254 ",
2020/8/3,"4,809 ","13,504 ","38,511 ","35,930 ","22,167 ","13,290 ","10,586 ","3,901 ","2,970 ","10,988 ","2,296 ","3,271 ","3,042 ","7,161 ","8,695 ","16,411 ","16,043 ","4,848 ","8,168 ","2,780 ","7,347 ","6,864 ","6,299 ","26,424 ","3,228 ","10,656 ","10,311 ","15,148 ","21,610 ","13,502 ","9,364 ","22,040 ","15,354 ","30,239 ","20,649 ","8,579 ","31,362 ","23,465 ","24,160 ","18,621 ","23,290 ","122,693 ","31,488 ","19,127 ","19,941 ","20,117 ","18,683 ","19,838 ","19,221 ","11,143 ","25,292 ","6,393 ","8,133 ","13,345 ","3,767 ","3,232 ","2,872 ","10,287 ","7,368 ","8,823 ","23,749 ","8,888 ","11,083 ","6,803 ","19,033 ","23,036 ","26,247 ","33,445 ","34,997 ","22,822 ","22,159 ","47,474 ","17,796 ","26,089 ","28,207 ","17,830 ","55,033 ","17,464 ","14,489 ","13,721 ","16,681 ","12,393 ","30,373 ","16,683 ","6,965 ","10,020 ","35,386 ","20,602 ","21,680 ","21,512 ","7,904 ","9,317 ","5,276 ","4,917 ","5,797 ","9,065 ","8,792 ","11,515 ","15,084 ","25,630 ","20,330 ","13,259 ","10,398 ","11,176 ","11,495 ","10,405 ","9,184 ","9,213 ",693 ,"1,988 ","2,951 ","3,852 ","1,817 ","2,838 ","2,369 ","6,336 ","1,596 ","2,740 ","3,530 ",
2020/8/4,"5,125 ","14,566 ","41,501 ","42,083 ","24,059 ","14,321 ","11,660 ","4,123 ","3,272 ","11,762 ","2,552 ","3,716 ","4,415 ","7,966 ","9,824 ","17,084 ","16,966 ","5,194 ","9,124 ","3,186 ","8,031 ","7,844 ","6,142 ","28,810 ","3,385 ","11,895 ","11,126 ","16,444 ","23,255 ","15,154 ","10,218 ","24,726 ","17,188 ","33,951 ","24,327 ","9,454 ","34,337 ","25,614 ","26,041 ","20,285 ","25,170 ","125,411 ","37,934 ","20,615 ","22,273 ","24,524 ","22,532 ","23,847 ","22,596 ","12,573 ","29,050 ","7,096 ","9,001 ","16,288 ","4,280 ","3,672 ","3,224 ","11,651 ","8,453 ","9,879 ","27,780 ","9,370 ","12,112 ","7,364 ","20,813 ","24,515 ","30,304 ","35,192 ","38,335 ","25,305 ","26,417 ","54,962 ","20,138 ","29,906 ","32,627 ","19,803 ","58,421 ","19,573 ","15,978 ","14,727 ","17,243 ","13,858 ","25,866 ","18,151 ","8,060 ","11,375 ","37,538 ","21,792 ","23,360 ","23,227 ","8,444 ","10,319 ","5,692 ","5,180 ","6,250 ","9,673 ","9,104 ","12,350 ","16,523 ","28,800 ","22,787 ","14,530 ","11,504 ","12,007 ","12,142 ","11,190 ","9,942 ","9,803 ",729 ,"2,087 ","2,977 ","4,130 ","1,900 ","2,818 ","2,426 ","6,573 ","1,822 ","2,998 ","3,813 ",
2020/8/5,"4,990 ","14,823 ","42,032 ","43,669 ","24,088 ","14,452 ","11,513 ","4,200 ","3,318 ","12,187 ","2,764 ","3,987 ","4,693 ","8,298 ","10,448 ","17,247 ","17,050 ","5,407 ","9,387 ","3,541 ","8,249 ","7,746 ","5,923 ","29,648 ","3,481 ","12,664 ","11,548 ","16,912 ","23,729 ","15,762 ","10,267 ","25,690 ","17,639 ","34,192 ","24,621 ","9,447 ","34,907 ","26,282 ","26,674 ","20,639 ","24,745 ","129,814 ","39,473 ","21,309 ","23,052 ","25,682 ","24,123 ","24,915 ","23,104 ","12,579 ","29,775 ","7,211 ","9,103 ","16,816 ","4,440 ","3,772 ","3,251 ","12,122 ","8,901 ","10,324 ","30,080 ","9,528 ","12,585 ","7,693 ","21,461 ","25,222 ","30,913 ","36,294 ","39,090 ","25,920 ","26,828 ","59,033 ","20,006 ","30,595 ","34,009 ","20,657 ","61,067 ","19,808 ","16,504 ","15,064 ","18,386 ","14,811 ","26,510 ","18,769 ","8,689 ","11,846 ","37,411 ","23,107 ","23,470 ","23,876 ","8,890 ","10,478 ","5,986 ","5,269 ","6,502 ","9,884 ","9,500 ","12,517 ","16,688 ","28,912 ","23,598 ","14,870 ","11,731 ","12,269 ","12,425 ","11,536 ","10,245 ","10,073 ",719 ,"2,158 ","3,103 ","4,263 ","1,965 ","2,876 ","2,506 ","6,856 ","1,909 ","3,054 ","3,937 ",
2020/8/6,"4,742 ","14,897 ","42,004 ","44,606 ","24,259 ","14,419 ","11,579 ","4,247 ","3,303 ","12,170 ","2,771 ","3,803 ","5,524 ","8,234 ","11,070 ","17,045 ","17,008 ","5,475 ","9,534 ","3,521 ","8,208 ","7,765 ","5,998 ","29,660 ","3,707 ","12,568 ","11,711 ","16,854 ","23,695 ","15,927 ","10,680 ","26,549 ","17,985 ","34,413 ","24,942 ","9,272 ","35,206 ","26,370 ","26,715 ","20,732 ","25,388 ","133,169 ","41,158 ","21,141 ","23,202 ","26,566 ","25,418 ","25,456 ","23,141 ","12,870 ","29,731 ","7,351 ","9,310 ","17,033 ","4,685 ","3,777 ","3,150 ","11,959 ","8,780 ","10,542 ","31,408 ","9,592 ","12,976 ","7,803 ","21,802 ","24,867 ","31,188 ","37,105 ","39,481 ","26,393 ","26,975 ","59,118 ","20,023 ","30,708 ","34,706 ","20,891 ","61,844 ","19,624 ","16,585 ","15,463 ","18,103 ","15,039 ","27,244 ","18,772 ","8,809 ","11,778 ","38,088 ","22,569 ","23,350 ","24,192 ","8,735 ","10,740 ","5,932 ","5,107 ","6,689 ","9,795 ","9,491 ","12,866 ","16,564 ","28,721 ","24,102 ","14,978 ","11,729 ","12,338 ","12,347 ","11,372 ","10,232 ","10,024 ",822 ,"2,184 ","3,129 ","4,196 ","1,918 ","2,850 ","2,336 ","6,947 ","1,891 ","3,110 ","4,007 ",
2020/8/7,"5,388 ","15,130 ","42,658 ","49,536 ","24,891 ","14,934 ","11,980 ","4,319 ","3,635 ","12,531 ","2,812 ","3,775 ","5,366 ","8,399 ","11,351 ","17,281 ","17,327 ","5,642 ","10,118 ","3,749 ","8,544 ","8,155 ","6,213 ","30,408 ","3,911 ","13,166 ","12,177 ","17,704 ","24,876 ","16,492 ","11,212 ","28,779 ","18,907 ","35,590 ","25,613 ","8,904 ","36,752 ","27,123 ","27,565 ","21,540 ","24,618 ","150,558 ","44,559 ","21,585 ","23,570 ","26,523 ","26,618 ","26,954 ","24,620 ","13,085 ","29,829 ","7,662 ","9,409 ","18,034 ","5,189 ","3,832 ","3,346 ","11,354 ","9,244 ","10,797 ","32,770 ","10,043 ","13,319 ","8,222 ","22,622 ","25,400 ","32,243 ","40,557 ","41,111 ","26,954 ","28,497 ","64,243 ","20,880 ","33,140 ","37,512 ","22,017 ","68,012 ","20,677 ","17,793 ","15,731 ","20,002 ","15,301 ","30,224 ","19,809 ","8,962 ","12,504 ","37,612 ","22,462 ","23,860 ","24,584 ","8,340 ","11,428 ","6,078 ","5,277 ","6,862 ","10,170 ","10,123 ","14,145 ","17,032 ","29,982 ","24,829 ","15,399 ","11,993 ","12,766 ","12,820 ","11,800 ","10,644 ","10,580 ",852 ,"2,360 ","3,215 ","4,562 ","2,001 ","2,926 ","2,513 ","7,797 ","1,902 ","3,327 ","4,271 ",
2020/8/8,"3,423 ","8,441 ","20,025 ","40,877 ","15,015 ","8,789 ","7,240 ","3,726 ","2,343 ","7,491 ","1,735 ","2,837 ","6,440 ","4,987 ","8,827 ","4,716 ","5,884 ","3,542 ","7,635 ","3,124 ","5,293 ","5,552 ","2,303 ","17,812 ","3,753 ","10,628 ","8,640 ","13,095 ","16,704 ","14,855 ","8,721 ","31,160 ","14,988 ","24,238 ","16,447 ","4,047 ","27,671 ","19,303 ","19,660 ","15,901 ","10,143 ","127,293 ","37,468 ","15,033 ","14,557 ","20,933 ","22,623 ","21,367 ","17,581 ","8,546 ","19,723 ","6,024 ","5,710 ","13,423 ","4,066 ","2,894 ","1,690 ","7,053 ","7,304 ","8,188 ","30,137 ","6,393 ","9,883 ","6,113 ","16,188 ","15,606 ","26,185 ","31,754 ","29,020 ","19,384 ","26,692 ","58,533 ","11,836 ","24,735 ","25,491 ","14,675 ","48,622 ","14,397 ","13,378 ","8,209 ","14,043 ","8,540 ","20,266 ","11,308 ","8,102 ","9,016 ","15,704 ","16,975 ","12,919 ","15,494 ","6,257 ","8,064 ","4,186 ","2,225 ","5,700 ","6,629 ","7,919 ","11,023 ","11,342 ","17,429 ","18,253 ","10,215 ","8,997 ","9,297 ","9,038 ","9,148 ","7,103 ","7,433 ",403 ,"2,134 ","2,641 ","4,188 ","1,009 ","1,051 ","1,586 ","6,829 ","1,674 ","2,753 ","3,014 ",
2020/8/9,"3,752 ","7,159 ","16,862 ","34,997 ","11,583 ","8,064 ","5,984 ","3,163 ","1,957 ","6,079 ","1,551 ","2,484 ","6,159 ","4,865 ","8,576 ","3,983 ","4,868 ","2,963 ","6,266 ","3,048 ","4,468 ","4,814 ","2,378 ","15,249 ","3,905 ","11,099 ","7,669 ","11,355 ","14,018 ","11,769 ","7,440 ","29,166 ","14,015 ","20,163 ","15,055 ","3,513 ","23,957 ","16,212 ","17,709 ","13,909 ","9,811 ","152,415 ","33,645 ","11,619 ","15,042 ","21,307 ","22,023 ","19,009 ","15,177 ","6,892 ","16,755 ","4,937 ","5,220 ","12,262 ","4,046 ","2,403 ","1,406 ","5,935 ","6,128 ","7,241 ","30,830 ","5,857 ","9,752 ","5,346 ","14,476 ","12,837 ","23,948 ","32,827 ","24,603 ","16,293 ","21,897 ","56,404 ","11,500 ","22,997 ","21,764 ","12,930 ","48,110 ","12,408 ","10,987 ","6,863 ","15,139 ","8,412 ","20,069 ","9,250 ","8,124 ","8,026 ","13,399 ","16,243 ","10,895 ","13,892 ","5,410 ","6,822 ","4,029 ","1,869 ","5,637 ","6,239 ","7,058 ","10,446 ","9,926 ","17,135 ","16,461 ","9,157 ","7,578 ","8,095 ","8,072 ","7,689 ","6,640 ","6,660 ",424 ,"1,947 ","2,278 ","3,872 ","1,029 ","1,018 ","1,436 ","8,807 ","1,565 ","2,531 ","2,988 ",
2020/8/10,"4,915 ","14,099 ","40,408 ","40,933 ","23,220 ","13,916 ","11,248 ","3,982 ","3,126 ","11,916 ","2,537 ","3,669 ","4,377 ","7,828 ","9,730 ","16,896 ","16,572 ","5,156 ","8,874 ","3,228 ","7,735 ","7,406 ","6,285 ","28,316 ","3,453 ","11,744 ","10,979 ","15,967 ","23,013 ","14,682 ","9,713 ","24,541 ","16,208 ","32,229 ","22,124 ","9,104 ","33,238 ","24,868 ","25,602 ","19,940 ","24,652 ","140,754 ","35,858 ","20,481 ","22,123 ","23,018 ","22,452 ","23,195 ","21,518 ","12,409 ","27,998 ","6,948 ","8,965 ","15,811 ","4,487 ","3,503 ","2,987 ","11,532 ","8,330 ","9,880 ","29,525 ","9,204 ","12,381 ","7,416 ","20,291 ","23,973 ","29,459 ","36,506 ","37,561 ","24,399 ","25,536 ","55,844 ","19,076 ","28,513 ","31,961 ","19,358 ","60,149 ","18,546 ","15,915 ","15,125 ","18,241 ","13,825 ","27,763 ","18,259 ","8,067 ","11,133 ","37,015 ","21,640 ","22,888 ","23,312 ","8,472 ","10,008 ","5,609 ","4,994 ","6,297 ","9,094 ","8,800 ","12,151 ","15,811 ","28,034 ","21,785 ","14,317 ","11,226 ","11,680 ","11,859 ","10,964 ","9,818 ","9,669 ",758 ,"2,026 ","2,937 ","4,113 ","1,865 ","2,762 ","2,315 ","7,285 ","1,684 ","2,877 ","3,834 ",
