"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2020/6/1,"4,058 ","13,437 ","38,904 ","33,987 ","23,983 ","13,513 ","10,638 ","3,463 ","2,901 ","13,626 ","1,983 ","4,406 ","4,105 ","9,119 ","9,116 ","18,247 ","16,519 ","5,086 ","8,222 ","2,999 ","8,401 ","7,749 ","4,929 ","26,056 ","3,212 ","9,915 ","11,534 ","16,000 ","21,826 ","15,857 ","9,055 ","22,884 ","15,461 ","30,465 ","21,221 ","10,487 ","34,541 ","24,736 ","24,560 ","19,248 ","23,181 ","102,251 ","32,096 ","19,509 ","21,415 ","23,733 ","24,735 ","24,253 ","21,216 ","12,166 ","29,337 ","6,235 ","7,123 ","18,026 ","3,600 ","3,322 ","3,202 ","13,215 ","8,970 ","10,473 ","29,308 ","8,458 ","11,940 ","7,320 ","21,392 ","22,495 ","24,631 ","35,601 ","37,026 ","24,745 ","23,517 ","44,911 ","19,855 ","26,634 ","29,280 ","18,139 ","54,271 ","19,145 ","15,063 ","14,487 ","16,515 ","11,945 ","22,013 ","17,427 ","6,778 ","10,265 ","36,154 ","20,891 ","22,779 ","20,935 ","13,870 ","10,354 ","5,107 ","4,787 ","5,834 ","9,610 ","8,898 ","10,822 ","15,322 ","26,606 ","20,621 ","12,998 ","11,767 ","12,028 ","11,598 ","11,276 ","10,281 ","8,916 ",739 ,"2,127 ","3,186 ","3,800 ","1,640 ","2,471 ","2,261 ","5,899 ","1,912 ","2,907 ","3,155 "
2020/6/2,"3,871 ","13,774 ","40,017 ","36,144 ","24,979 ","13,877 ","10,801 ","3,582 ","2,914 ","13,654 ","1,958 ","4,461 ","4,649 ","9,474 ","9,431 ","18,716 ","17,036 ","5,175 ","8,639 ","3,046 ","8,430 ","8,101 ","5,140 ","26,880 ","3,335 ","10,234 ","11,741 ","15,995 ","22,037 ","16,270 ","9,232 ","23,229 ","15,966 ","31,244 ","22,927 ","10,691 ","35,031 ","25,559 ","24,759 ","19,542 ","23,923 ","102,172 ","34,318 ","20,195 ","21,950 ","24,724 ","25,715 ","25,402 ","21,857 ","12,350 ","29,682 ","6,349 ","7,216 ","18,304 ","3,594 ","3,447 ","3,429 ","13,371 ","9,099 ","10,516 ","28,947 ","8,363 ","12,191 ","7,183 ","21,439 ","23,006 ","25,196 ","36,510 ","37,758 ","25,241 ","23,809 ","46,698 ","21,451 ","27,659 ","30,337 ","19,156 ","54,495 ","19,729 ","15,020 ","14,676 ","17,138 ","12,232 ","22,539 ","18,357 ","6,993 ","10,456 ","36,728 ","21,759 ","23,239 ","21,217 ","14,125 ","10,737 ","5,248 ","4,945 ","6,012 ","9,882 ","8,803 ","10,879 ","15,735 ","27,350 ","21,734 ","13,041 ","11,803 ","12,144 ","11,775 ","11,335 ","10,509 ","9,046 ",770 ,"2,091 ","3,213 ","3,858 ","1,645 ","2,512 ","2,315 ","6,016 ","1,958 ","2,958 ","3,142 "
2020/6/3,"3,857 ","14,136 ","40,557 ","37,810 ","25,199 ","14,119 ","11,123 ","3,692 ","2,971 ","14,148 ","2,010 ","4,622 ","5,342 ","9,845 ","9,832 ","18,677 ","16,998 ","5,339 ","8,792 ","3,284 ","8,515 ","8,134 ","5,125 ","26,802 ","3,559 ","10,897 ","12,195 ","16,129 ","22,400 ","16,543 ","9,515 ","23,785 ","16,428 ","31,956 ","23,389 ","10,949 ","35,509 ","26,059 ","25,107 ","19,739 ","23,811 ","106,786 ","36,025 ","20,783 ","22,552 ","25,361 ","27,006 ","25,954 ","22,437 ","12,237 ","30,525 ","6,570 ","7,219 ","18,874 ","3,929 ","3,470 ","3,512 ","13,650 ","9,444 ","10,843 ","30,368 ","8,512 ","12,651 ","7,548 ","21,908 ","22,886 ","25,541 ","36,750 ","38,532 ","25,791 ","24,279 ","49,144 ","22,166 ","28,476 ","32,056 ","19,767 ","56,626 ","19,991 ","15,508 ","14,809 ","17,415 ","12,487 ","23,648 ","18,422 ","7,477 ","10,788 ","37,092 ","22,298 ","23,493 ","21,856 ","13,885 ","11,059 ","5,340 ","4,949 ","6,042 ","9,938 ","9,298 ","11,222 ","16,106 ","28,003 ","22,974 ","13,291 ","12,042 ","12,374 ","11,846 ","11,514 ","10,500 ","9,107 ",677 ,"2,209 ","3,244 ","3,861 ","1,642 ","2,563 ","2,346 ","5,830 ","2,034 ","2,967 ","3,151 "
2020/6/4,"3,986 ","14,060 ","41,080 ","40,283 ","25,487 ","13,871 ","11,290 ","3,635 ","3,087 ","13,809 ","1,990 ","4,459 ","5,201 ","9,502 ","9,794 ","18,654 ","17,049 ","5,377 ","8,872 ","3,088 ","8,424 ","8,091 ","5,143 ","26,903 ","3,587 ","10,365 ","11,943 ","16,195 ","22,069 ","16,666 ","9,384 ","23,825 ","16,342 ","32,057 ","24,260 ","10,880 ","35,392 ","25,807 ","25,129 ","19,561 ","23,597 ","111,618 ","36,277 ","20,427 ","22,613 ","25,337 ","26,717 ","25,681 ","22,317 ","12,033 ","30,000 ","6,440 ","7,260 ","18,779 ","3,679 ","3,600 ","3,314 ","13,568 ","9,159 ","10,572 ","29,962 ","8,433 ","12,588 ","7,334 ","21,712 ","22,928 ","25,449 ","37,042 ","38,356 ","25,883 ","23,938 ","48,122 ","22,228 ","28,797 ","31,528 ","19,914 ","57,228 ","20,008 ","15,347 ","15,179 ","17,582 ","12,707 ","23,848 ","18,701 ","7,162 ","10,899 ","37,746 ","22,361 ","24,177 ","21,743 ","13,781 ","11,190 ","5,292 ","4,917 ","6,081 ","9,971 ","9,094 ","11,352 ","15,925 ","27,661 ","22,841 ","13,282 ","11,896 ","12,219 ","11,934 ","11,491 ","10,362 ","9,047 ",681 ,"2,109 ","3,175 ","3,847 ","1,675 ","2,492 ","2,321 ","5,980 ","1,979 ","3,036 ","3,202 "
2020/6/5,"4,269 ","14,549 ","43,047 ","45,324 ","26,363 ","14,776 ","11,751 ","3,818 ","3,016 ","14,276 ","2,089 ","4,657 ","5,169 ","9,555 ","10,692 ","18,469 ","17,054 ","5,568 ","9,291 ","3,250 ","8,764 ","8,500 ","5,336 ","27,497 ","3,774 ","10,974 ","12,217 ","16,582 ","23,516 ","17,360 ","9,928 ","26,332 ","17,931 ","33,028 ","24,478 ","11,082 ","36,460 ","26,801 ","25,607 ","19,910 ","24,010 ","147,852 ","42,747 ","21,793 ","23,473 ","27,280 ","27,904 ","26,920 ","23,350 ","12,323 ","30,673 ","6,728 ","7,625 ","19,504 ","4,116 ","3,652 ","3,314 ","13,386 ","9,487 ","10,923 ","30,561 ","8,898 ","13,970 ","7,778 ","22,513 ","23,159 ","27,808 ","41,935 ","39,826 ","26,323 ","25,555 ","57,886 ","22,603 ","30,861 ","37,674 ","22,617 ","67,964 ","20,883 ","16,406 ","15,231 ","21,548 ","12,744 ","25,923 ","20,380 ","7,883 ","11,573 ","38,910 ","23,014 ","24,654 ","23,097 ","14,292 ","11,533 ","5,727 ","5,042 ","6,247 ","10,137 ","9,934 ","11,790 ","17,191 ","29,475 ","24,808 ","13,837 ","12,403 ","12,804 ","12,166 ","11,847 ","10,652 ","9,609 ",730 ,"2,262 ","3,358 ","4,210 ","1,792 ","2,504 ","2,387 ","7,675 ","2,097 ","3,262 ","3,459 "
2020/6/6,"2,570 ","8,465 ","21,579 ","41,953 ","16,536 ","9,221 ","7,493 ","3,409 ","2,163 ","8,126 ","1,402 ","3,118 ","6,372 ","6,315 ","9,186 ","5,821 ","6,843 ","3,362 ","7,547 ","3,173 ","5,177 ","5,720 ","2,234 ","14,894 ","4,506 ","10,544 ","9,201 ","12,365 ","15,474 ","14,215 ","8,171 ","26,502 ","15,038 ","25,245 ","15,484 ","4,586 ","28,171 ","20,229 ","18,869 ","15,570 ","9,875 ","125,874 ","41,563 ","16,599 ","15,805 ","23,780 ","25,587 ","22,706 ","18,057 ","8,174 ","21,878 ","5,537 ","5,135 ","14,982 ","4,456 ","2,839 ","1,627 ","7,742 ","7,396 ","9,164 ","30,174 ","5,926 ","10,439 ","5,668 ","15,846 ","15,094 ","24,400 ","34,249 ","28,415 ","19,216 ","23,077 ","63,036 ","12,894 ","26,563 ","33,054 ","16,399 ","53,804 ","14,122 ","12,949 ","8,088 ","14,642 ","8,534 ","19,710 ","13,288 ","8,618 ","9,470 ","17,527 ","12,828 ","13,582 ","15,296 ","11,114 ","8,510 ","4,702 ","2,410 ","5,552 ","7,162 ","8,658 ","9,860 ","12,056 ","18,203 ","20,547 ","10,533 ","9,205 ","9,877 ","8,932 ","9,116 ","7,735 ","7,135 ",521 ,"2,199 ","2,607 ","4,032 ","1,128 ","1,045 ","1,806 ","7,176 ","1,988 ","2,911 ","2,412 "
2020/6/7,"2,543 ","6,607 ","15,799 ","30,263 ","11,060 ","7,361 ","5,937 ","3,155 ","1,961 ","6,929 ","1,128 ","2,264 ","4,587 ","5,398 ","7,746 ","4,504 ","5,793 ","3,193 ","6,010 ","2,476 ","4,432 ","4,518 ","1,980 ","11,785 ","4,241 ","8,486 ","7,573 ","10,463 ","12,678 ","12,000 ","7,012 ","20,300 ","12,212 ","18,972 ","13,196 ","3,130 ","23,199 ","15,883 ","15,382 ","12,441 ","6,924 ","110,662 ","31,272 ","11,192 ","13,028 ","17,471 ","19,474 ","17,096 ","14,165 ","6,122 ","16,959 ","4,302 ","3,577 ","12,278 ","3,456 ","2,255 ","1,144 ","6,197 ","5,633 ","7,553 ","23,355 ","4,876 ","8,036 ","4,450 ","12,636 ","10,407 ","18,310 ","28,903 ","23,058 ","15,205 ","16,724 ","44,928 ","11,001 ","19,139 ","22,313 ","12,115 ","41,297 ","11,710 ","10,695 ","6,781 ","12,235 ","5,653 ","15,256 ","9,536 ","6,326 ","6,432 ","12,611 ","9,757 ","10,718 ","10,523 ","6,840 ","5,932 ","3,585 ","1,763 ","4,229 ","5,568 ","6,567 ","7,122 ","9,302 ","13,183 ","15,402 ","7,962 ","6,692 ","7,653 ","7,013 ","7,484 ","5,772 ","5,582 ",421 ,"1,875 ","2,311 ","3,407 ",865 ,842 ,"1,425 ","6,171 ","1,511 ","2,379 ","2,021 "
2020/6/8,"4,173 ","13,523 ","39,953 ","35,878 ","24,645 ","13,708 ","11,119 ","3,611 ","2,939 ","13,847 ","1,933 ","4,437 ","4,007 ","9,598 ","9,550 ","18,258 ","16,521 ","5,204 ","8,500 ","2,965 ","8,490 ","7,758 ","5,217 ","26,530 ","3,350 ","9,998 ","11,830 ","16,047 ","22,094 ","16,215 ","9,008 ","23,102 ","15,825 ","31,253 ","21,773 ","10,357 ","35,105 ","25,446 ","24,683 ","19,327 ","23,006 ","105,585 ","32,899 ","20,090 ","21,668 ","23,809 ","24,477 ","24,306 ","21,379 ","12,206 ","29,267 ","6,458 ","7,164 ","17,921 ","3,755 ","3,338 ","3,381 ","13,275 ","9,034 ","10,567 ","28,917 ","8,465 ","12,065 ","7,372 ","21,404 ","22,883 ","24,897 ","36,505 ","37,945 ","25,154 ","23,841 ","46,613 ","20,582 ","27,589 ","29,823 ","18,753 ","55,346 ","19,296 ","15,397 ","14,936 ","17,008 ","11,880 ","22,601 ","17,930 ","6,730 ","10,414 ","36,521 ","21,592 ","23,223 ","21,279 ","13,783 ","10,316 ","5,234 ","4,884 ","5,802 ","9,744 ","9,022 ","10,799 ","15,672 ","27,041 ","21,333 ","13,252 ","11,832 ","12,224 ","11,692 ","11,410 ","10,372 ","8,893 ",739 ,"2,163 ","3,254 ","3,894 ","1,591 ","2,500 ","2,536 ","6,274 ","1,937 ","2,957 ","3,166 "
2020/6/9,"3,983 ","14,049 ","40,316 ","37,792 ","25,272 ","14,104 ","11,162 ","3,627 ","2,968 ","13,927 ","2,119 ","4,436 ","4,859 ","9,824 ","9,579 ","18,749 ","17,157 ","5,237 ","8,721 ","3,084 ","8,443 ","8,048 ","5,344 ","26,989 ","3,297 ","10,292 ","11,881 ","16,083 ","22,541 ","16,543 ","9,388 ","23,289 ","16,221 ","31,845 ","23,583 ","10,976 ","35,314 ","26,023 ","25,090 ","19,586 ","24,332 ","107,223 ","34,903 ","20,984 ","22,787 ","25,208 ","26,581 ","25,842 ","22,930 ","12,627 ","30,059 ","6,538 ","7,494 ","18,649 ","4,101 ","3,426 ","3,476 ","13,781 ","9,347 ","10,753 ","29,404 ","8,538 ","12,462 ","7,419 ","21,685 ","22,958 ","26,186 ","37,083 ","38,472 ","25,284 ","24,088 ","48,217 ","22,207 ","28,516 ","31,822 ","19,233 ","56,278 ","20,079 ","15,220 ","14,860 ","17,365 ","12,427 ","23,242 ","18,389 ","7,211 ","10,601 ","37,315 ","22,091 ","23,670 ","21,908 ","13,976 ","10,826 ","5,352 ","4,922 ","6,110 ","9,776 ","9,309 ","10,959 ","16,067 ","28,180 ","22,369 ","13,355 ","11,854 ","12,380 ","11,901 ","11,456 ","10,517 ","9,182 ",799 ,"2,146 ","3,334 ","4,011 ","1,688 ","2,538 ","2,539 ","6,208 ","2,016 ","2,915 ","3,430 "
2020/6/10,"4,119 ","14,321 ","41,114 ","39,757 ","25,659 ","14,088 ","11,285 ","3,873 ","2,971 ","14,575 ","2,039 ","4,495 ","4,890 ","9,914 ","9,980 ","18,916 ","17,275 ","5,438 ","9,053 ","3,279 ","8,641 ","8,121 ","5,355 ","27,246 ","3,272 ","10,808 ","12,357 ","16,123 ","22,748 ","16,981 ","9,456 ","23,978 ","16,751 ","32,763 ","23,819 ","10,701 ","36,150 ","26,227 ","25,263 ","19,941 ","23,697 ","111,489 ","36,764 ","21,049 ","22,993 ","26,086 ","26,507 ","26,069 ","23,217 ","12,667 ","30,996 ","6,655 ","7,343 ","19,236 ","3,898 ","3,580 ","3,549 ","13,707 ","9,626 ","10,803 ","30,601 ","8,787 ","12,707 ","7,634 ","22,109 ","23,222 ","26,484 ","38,286 ","39,338 ","26,171 ","24,863 ","50,711 ","23,505 ","29,454 ","33,158 ","20,223 ","58,198 ","20,298 ","15,791 ","15,050 ","17,821 ","12,675 ","24,268 ","18,713 ","7,680 ","11,006 ","37,670 ","22,830 ","23,945 ","22,298 ","13,755 ","10,988 ","5,481 ","4,974 ","6,031 ","10,019 ","9,379 ","11,501 ","16,079 ","29,337 ","23,465 ","13,419 ","12,364 ","12,553 ","11,921 ","11,659 ","10,667 ","9,124 ",769 ,"2,178 ","3,239 ","3,870 ","1,648 ","2,652 ","2,426 ","6,322 ","2,024 ","3,100 ","3,233 "
