"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區,
2021/8/1,817 ,"2,250 ","4,547 ","10,751 ","3,077 ","2,344 ","2,111 ","1,131 ",722 ,"1,874 ",496 ,856 ,904 ,"1,358 ","2,160 ","1,314 ","1,815 ",939 ,"2,087 ",828 ,"1,342 ","1,557 ",553 ,"4,718 ","1,034 ","3,420 ","2,468 ","3,700 ","4,216 ","4,053 ","2,619 ","5,264 ","3,544 ","5,877 ","3,401 ",873 ,"7,828 ","5,125 ","5,461 ","4,802 ","2,249 ","32,417 ","10,082 ","3,548 ","4,301 ","5,638 ","5,182 ","5,413 ","5,119 ","2,454 ","5,450 ","1,840 ","1,665 ","4,099 ","1,006 ",950 ,587 ,"2,473 ","2,503 ","3,089 ","9,141 ","2,048 ","2,576 ","1,799 ","4,637 ","4,376 ","6,591 ","8,678 ","7,976 ","5,456 ","5,431 ","12,079 ","2,282 ","6,732 ","5,800 ","2,932 ","12,875 ","4,299 ","3,779 ","2,364 ","4,750 ","2,277 ","4,276 ","3,112 ","2,883 ","2,022 ","3,674 ","2,495 ","3,427 ","4,224 ","1,619 ","2,014 ","1,510 ",785 ,"1,549 ","2,181 ","2,723 ","3,242 ","3,441 ","4,989 ","4,877 ","2,648 ","2,572 ","2,549 ","2,742 ","3,086 ","2,198 ","2,438 ",240 ,654 ,937 ,"1,415 ",363 ,406 ,545 ,"2,964 ",588 ,989 ,"1,011 ",
2021/8/2,"1,887 ","7,256 ","21,106 ","18,673 ","10,833 ","6,581 ","5,806 ","2,221 ","1,877 ","5,851 ","1,399 ","1,800 ","1,766 ","3,500 ","4,519 ","9,242 ","8,887 ","2,198 ","4,427 ","1,481 ","3,617 ","3,654 ","3,152 ","15,274 ","1,538 ","6,367 ","6,630 ","7,738 ","12,193 ","7,395 ","5,429 ","10,011 ","7,838 ","15,223 ","11,223 ","4,552 ","17,274 ","12,771 ","14,026 ","10,989 ","14,106 ","51,100 ","16,964 ","10,501 ","11,449 ","11,151 ","9,810 ","10,916 ","11,588 ","6,227 ","14,895 ","3,954 ","4,858 ","8,419 ","1,501 ","2,102 ","2,047 ","6,365 ","4,967 ","6,187 ","15,130 ","5,246 ","6,468 ","4,586 ","11,686 ","13,923 ","14,540 ","16,814 ","19,783 ","13,484 ","10,882 ","22,858 ","8,867 ","14,763 ","14,120 ","8,839 ","26,890 ","9,642 ","8,470 ","8,073 ","8,506 ","6,583 ","11,661 ","9,999 ","3,710 ","6,007 ","20,849 ","10,707 ","12,292 ","12,744 ","4,295 ","5,421 ","3,401 ","3,334 ","3,479 ","5,428 ","5,070 ","6,514 ","8,806 ","16,553 ","9,647 ","7,655 ","6,511 ","6,487 ","6,856 ","6,516 ","6,063 ","5,797 ",791 ,"1,265 ","1,961 ","2,619 ","1,513 ","2,318 ","1,605 ","4,069 ","1,153 ","1,971 ","2,665 ",
2021/8/3,"1,897 ","7,597 ","22,248 ","20,528 ","10,974 ","6,975 ","6,070 ","2,305 ","1,861 ","6,120 ","1,458 ","1,942 ","1,736 ","3,582 ","4,824 ","9,676 ","9,172 ","2,490 ","4,699 ","1,536 ","3,945 ","3,839 ","3,493 ","15,405 ","1,771 ","6,556 ","7,011 ","8,431 ","12,506 ","7,857 ","5,711 ","10,942 ","8,395 ","16,308 ","12,016 ","4,641 ","18,236 ","13,653 ","14,494 ","11,561 ","14,368 ","50,108 ","19,102 ","10,808 ","11,887 ","12,298 ","10,360 ","11,678 ","12,274 ","6,585 ","15,381 ","4,071 ","5,068 ","8,583 ","1,626 ","2,198 ","2,110 ","6,583 ","5,136 ","6,393 ","15,312 ","5,506 ","6,630 ","4,659 ","12,253 ","14,649 ","15,469 ","17,411 ","20,809 ","14,188 ","11,382 ","24,442 ","9,724 ","15,599 ","15,590 ","9,618 ","28,549 ","10,321 ","8,695 ","8,543 ","8,723 ","6,770 ","12,201 ","10,435 ","3,774 ","6,261 ","21,801 ","11,307 ","12,758 ","12,988 ","4,328 ","5,608 ","3,359 ","3,360 ","3,537 ","5,737 ","5,361 ","6,389 ","9,164 ","15,431 ","10,547 ","8,053 ","6,401 ","6,770 ","7,189 ","6,857 ","6,205 ","6,036 ",670 ,"1,313 ","2,044 ","2,675 ","1,527 ","2,411 ","1,598 ","3,919 ","1,141 ","2,012 ","2,645 ",
2021/8/4,"2,001 ","7,758 ","22,468 ","21,403 ","11,249 ","7,029 ","6,146 ","2,411 ","1,995 ","6,395 ","1,464 ","1,927 ","1,846 ","3,750 ","5,097 ","9,599 ","9,317 ","2,510 ","4,805 ","1,625 ","3,971 ","4,023 ","3,165 ","16,144 ","1,789 ","6,783 ","7,050 ","8,690 ","12,835 ","8,192 ","5,860 ","11,273 ","8,451 ","16,561 ","12,006 ","4,702 ","18,537 ","13,851 ","14,856 ","11,705 ","14,204 ","51,852 ","20,119 ","10,940 ","12,148 ","12,630 ","10,619 ","11,766 ","12,700 ","6,863 ","16,089 ","4,214 ","5,173 ","8,826 ","1,709 ","2,194 ","2,189 ","6,892 ","5,289 ","6,552 ","15,942 ","5,620 ","6,755 ","4,748 ","12,304 ","14,607 ","15,734 ","17,911 ","21,332 ","14,560 ","11,678 ","25,325 ","9,799 ","16,184 ","16,467 ","9,921 ","29,042 ","10,398 ","9,145 ","8,678 ","8,880 ","7,305 ","11,296 ","10,649 ","3,998 ","6,569 ","21,894 ","11,564 ","13,020 ","13,224 ","4,426 ","5,734 ","3,542 ","3,458 ","3,631 ","5,690 ","5,453 ","6,733 ","9,243 ","16,035 ","10,934 ","8,037 ","6,565 ","6,785 ","7,229 ","6,983 ","6,208 ","6,159 ",644 ,"1,354 ","2,110 ","2,605 ","1,599 ","2,489 ","1,672 ","3,962 ","1,211 ","2,001 ","2,784 ",
2021/8/5,"1,945 ","7,553 ","22,341 ","21,523 ","11,233 ","6,990 ","6,168 ","2,414 ","1,939 ","6,297 ","1,445 ","1,954 ","1,845 ","3,718 ","4,963 ","9,680 ","9,250 ","2,358 ","4,768 ","1,595 ","3,953 ","4,017 ","3,234 ","15,994 ","1,680 ","7,281 ","6,999 ","8,455 ","12,926 ","8,084 ","5,781 ","11,196 ","8,571 ","16,505 ","12,074 ","4,650 ","18,480 ","14,018 ","14,725 ","11,896 ","14,339 ","52,336 ","20,279 ","11,059 ","12,120 ","12,984 ","10,685 ","11,842 ","12,677 ","6,668 ","15,732 ","4,227 ","5,101 ","8,761 ","1,631 ","2,174 ","2,091 ","6,704 ","5,208 ","6,479 ","15,792 ","5,542 ","6,676 ","4,650 ","12,198 ","14,901 ","15,579 ","17,557 ","21,173 ","14,422 ","11,604 ","25,684 ","9,743 ","16,084 ","16,290 ","9,839 ","29,106 ","10,564 ","9,018 ","8,460 ","9,095 ","7,156 ","12,309 ","10,582 ","4,044 ","6,336 ","21,700 ","11,500 ","13,011 ","13,095 ","4,436 ","5,697 ","3,494 ","3,453 ","3,639 ","5,811 ","5,442 ","6,762 ","9,289 ","15,652 ","10,777 ","7,972 ","6,576 ","6,816 ","7,125 ","6,919 ","6,157 ","6,094 ",648 ,"1,379 ","2,185 ","2,634 ","1,566 ","2,414 ","1,640 ","3,914 ","1,216 ","2,061 ","2,695 ",
2021/8/6,"1,890 ","7,828 ","22,326 ","23,383 ","11,248 ","7,200 ","6,349 ","2,568 ","2,014 ","6,471 ","1,487 ","1,954 ","1,728 ","3,868 ","5,181 ","9,793 ","9,292 ","2,490 ","4,894 ","1,567 ","4,183 ","4,156 ","3,232 ","15,756 ","1,772 ","6,772 ","7,143 ","8,620 ","13,359 ","8,345 ","6,016 ","11,949 ","9,065 ","16,800 ","12,081 ","4,616 ","18,777 ","14,157 ","14,751 ","11,874 ","14,034 ","56,449 ","22,324 ","11,095 ","12,144 ","12,138 ","10,528 ","11,888 ","12,712 ","6,849 ","16,254 ","4,301 ","5,195 ","9,291 ","1,714 ","2,268 ","2,159 ","6,453 ","5,251 ","6,479 ","15,091 ","5,318 ","6,594 ","4,754 ","12,201 ","14,762 ","15,518 ","18,691 ","21,404 ","14,526 ","11,746 ","27,008 ","9,878 ","16,065 ","17,152 ","10,243 ","31,022 ","10,994 ","9,641 ","8,889 ","9,591 ","6,928 ","12,465 ","10,976 ","3,906 ","6,447 ","21,549 ","11,442 ","12,912 ","13,121 ","4,356 ","5,622 ","3,468 ","3,476 ","3,698 ","5,903 ","5,645 ","7,163 ","9,664 ","15,551 ","11,169 ","7,959 ","6,593 ","6,888 ","7,232 ","6,902 ","6,118 ","6,037 ",606 ,"1,390 ","2,246 ","2,869 ","1,572 ","2,510 ","1,632 ","4,400 ","1,280 ","2,185 ","2,722 ",
2021/8/7,738 ,"3,229 ","6,713 ","16,411 ","4,750 ","3,177 ","2,745 ","1,448 ",854 ,"2,731 ",596 ,918 ,640 ,"1,755 ","2,722 ","1,813 ","2,349 ","1,353 ","2,794 ",791 ,"1,761 ","1,976 ",689 ,"5,902 ","1,349 ","3,527 ","3,198 ","4,650 ","6,070 ","4,706 ","3,291 ","6,312 ","4,975 ","8,159 ","4,472 ",925 ,"10,249 ","6,676 ","7,129 ","6,075 ","2,910 ","31,059 ","14,198 ","6,147 ","5,189 ","5,727 ","5,756 ","6,666 ","6,174 ","3,372 ","6,795 ","2,312 ","2,185 ","4,585 ","1,252 ","1,079 ",691 ,"2,601 ","2,956 ","3,218 ","7,959 ","2,340 ","2,756 ","2,274 ","5,760 ","6,132 ","8,183 ","9,754 ","10,506 ","7,218 ","6,778 ","15,528 ","3,313 ","8,454 ","9,322 ","4,675 ","16,659 ","5,897 ","5,036 ","3,166 ","4,912 ","2,335 ","5,735 ","4,486 ","2,301 ","2,413 ","5,948 ","3,705 ","4,785 ","4,672 ","2,140 ","2,580 ","1,797 ",999 ,"1,865 ","3,058 ","3,566 ","3,793 ","4,903 ","6,187 ","6,150 ","3,578 ","3,211 ","3,549 ","3,677 ","3,850 ","2,727 ","2,842 ",297 ,819 ,"1,278 ","1,808 ",482 ,533 ,812 ,"2,502 ",711 ,"1,178 ","1,154 ",
2021/8/8,946 ,"2,826 ","5,387 ","13,627 ","3,734 ","2,881 ","2,482 ","1,286 ",795 ,"2,219 ",568 ,912 ,"1,042 ","1,569 ","2,840 ","1,451 ","1,904 ","1,168 ","2,447 ","1,072 ","1,618 ","1,888 ",712 ,"5,386 ","1,489 ","4,098 ","3,154 ","4,480 ","5,349 ","4,772 ","3,212 ","6,653 ","4,240 ","6,994 ","4,148 ","1,054 ","9,470 ","6,156 ","6,646 ","5,643 ","2,565 ","41,333 ","12,972 ","4,213 ","5,289 ","6,880 ","6,447 ","6,655 ","6,326 ","2,686 ","6,482 ","2,247 ","2,053 ","5,076 ","1,211 ","1,102 ",673 ,"2,930 ","2,996 ","3,722 ","12,090 ","2,474 ","3,294 ","2,089 ","5,387 ","4,894 ","7,836 ","10,663 ","9,425 ","6,756 ","6,676 ","16,612 ","2,915 ","8,385 ","7,335 ","3,609 ","17,430 ","5,248 ","4,440 ","2,840 ","5,845 ","2,821 ","5,715 ","3,693 ","3,240 ","2,510 ","4,476 ","2,920 ","3,898 ","4,881 ","2,004 ","2,489 ","1,756 ",979 ,"1,964 ","2,521 ","3,106 ","3,873 ","4,006 ","5,220 ","5,845 ","3,254 ","2,839 ","3,073 ","3,098 ","3,554 ","2,741 ","2,735 ",279 ,833 ,"1,157 ","1,800 ",456 ,506 ,621 ,"3,561 ",683 ,"1,131 ","1,086 ",
2021/8/9,"2,029 ","7,774 ","22,600 ","21,208 ","11,685 ","7,157 ","6,315 ","2,389 ","1,987 ","6,442 ","1,538 ","2,019 ","1,793 ","3,651 ","5,234 ","10,066 ","9,453 ","2,504 ","4,892 ","1,693 ","4,012 ","4,387 ","3,671 ","17,127 ","1,780 ","6,984 ","7,158 ","8,582 ","13,212 ","8,174 ","5,701 ","11,287 ","8,646 ","16,725 ","12,106 ","4,696 ","18,527 ","13,908 ","14,863 ","12,099 ","14,600 ","59,648 ","19,980 ","11,224 ","12,403 ","14,620 ","10,921 ","11,908 ","12,660 ","6,832 ","16,236 ","4,158 ","5,433 ","8,764 ","1,670 ","2,285 ","2,120 ","6,713 ","5,379 ","6,636 ","16,332 ","5,581 ","7,223 ","4,881 ","12,715 ","15,117 ","15,856 ","18,809 ","21,421 ","14,669 ","11,880 ","26,463 ","9,800 ","16,194 ","16,619 ","9,793 ","30,149 ","10,293 ","9,043 ","8,662 ","9,643 ","7,474 ","12,937 ","10,926 ","4,049 ","6,550 ","22,434 ","11,686 ","13,060 ","13,611 ","4,517 ","5,909 ","3,566 ","3,519 ","3,726 ","5,862 ","5,472 ","7,012 ","9,485 ","15,990 ","10,670 ","8,173 ","6,888 ","6,999 ","7,404 ","6,987 ","6,390 ","6,191 ",680 ,"1,402 ","2,078 ","2,861 ","1,591 ","2,405 ","1,655 ","4,588 ","1,236 ","2,150 ","2,797 ",
2021/8/10,"2,060 ","8,147 ","23,659 ","23,154 ","12,389 ","7,689 ","6,700 ","2,492 ","2,082 ","7,058 ","1,672 ","2,063 ","2,004 ","3,993 ","5,485 ","10,498 ","9,941 ","2,682 ","5,228 ","1,781 ","4,304 ","4,464 ","3,801 ","17,504 ","1,883 ","7,344 ","7,396 ","9,033 ","13,796 ","8,682 ","6,035 ","12,413 ","9,170 ","17,610 ","13,301 ","4,942 ","19,484 ","14,798 ","15,640 ","12,519 ","15,166 ","58,193 ","22,033 ","11,826 ","12,832 ","15,207 ","11,622 ","12,862 ","13,381 ","7,050 ","16,613 ","4,332 ","5,550 ","9,434 ","1,720 ","2,337 ","2,219 ","6,826 ","5,441 ","6,916 ","16,882 ","5,676 ","7,455 ","5,008 ","13,217 ","15,635 ","16,613 ","19,146 ","22,571 ","15,402 ","12,586 ","27,750 ","10,707 ","16,981 ","17,505 ","10,620 ","31,657 ","10,931 ","9,451 ","9,107 ","9,758 ","7,601 ","13,803 ","11,304 ","4,305 ","6,713 ","23,155 ","12,087 ","13,835 ","13,891 ","4,739 ","6,156 ","3,754 ","3,589 ","3,873 ","6,120 ","5,796 ","7,029 ","10,231 ","16,862 ","11,559 ","8,579 ","6,952 ","7,309 ","7,643 ","7,184 ","6,682 ","6,560 ",751 ,"1,423 ","2,124 ","2,937 ","1,716 ","2,493 ","1,757 ","4,412 ","1,262 ","2,177 ","2,888 ",
